"Feature","Gain","Cover","Frequency"
"avg_speed",0.184225813171178,0.172440771128809,0.222689075630252
"location_entropy",0.171281609819257,0.120062589018837,0.168067226890756
"cluster4.avg_speed",0.148577033950402,0.0765712451603844,0.0483193277310924
"sd_speed",0.114974043129198,0.147645890589581,0.17436974789916
"cluster3.avg_speed",0.0728346562660217,0.0587775080743846,0.0567226890756303
"cluster3.sd_speed",0.0584427062265771,0.0369716543962768,0.0399159663865546
"cluster3.modal_locationWBW_DNCTL",0.0565079039585346,0.062869866998335,0.0420168067226891
"cluster4.sd_speed",0.0468759358297872,0.0880860197797348,0.0567226890756303
"cluster3.location_entropy",0.042363047808089,0.056269935204317,0.046218487394958
"cluster2.location_entropy",0.040009752926175,0.0893097153403278,0.0609243697478992
"cluster2.sd_speed",0.017649601105028,0.0319765692391021,0.0210084033613445
"cluster4.location_entropy",0.0158740763028409,0.0225079740817268,0.0189075630252101
"cluster2.avg_speed",0.012463625604663,0.0327990531404843,0.0210084033613445
"cluster1",0.00652755252467853,0.00118357439467191,0.0105042016806723
"modal_locationWC_DNCTL",0.00489490231373818,0.00072218098657947,0.00840336134453781
"cluster3",0.00484786538444377,0.00130393789243515,0.00210084033613445
"modal_locationWBW_DNCTL",0.00164987367938779,0.000501514574013521,0.00210084033613445
