"Variable","Overall"
"cluster3.modal_locationWBC_DNCTL",100
"cluster3.avg_speed",95.5211622184735
"modal_locationWBW_DNCTL",79.8843851631907
"cluster3.modal_locationWW_DCTL",79.692459983296
"cluster4",79.3030770725305
"cluster4.modal_locationWB_DNCTL",78.448070118807
"cluster3.modal_locationWB_DNCTL",78.3407805390371
"cluster3",73.4726834007832
"cluster4.modal_locationWW_DCTL",72.9655206470764
"cluster4.modal_locationWBW_DNCTL",71.4555759991247
"cluster4.modal_locationWC_DNCTL",70.4137891106016
"avg_speed",68.706279896012
"cluster3.location_entropy",67.163655617935
"cluster4.avg_speed",66.5776068759491
"cluster2.modal_locationWC_DNCTL",65.6776209560302
"cluster3.modal_locationWBW_DNCTL",62.8428531347746
"cluster3.sd_speed",58.5754109391677
"cluster2.modal_locationWBW_DNCTL",55.4158498781128
"cluster2",54.0300277703335
"location_entropy",53.7287735064107
"cluster4.modal_locationWBC_DNCTL",52.3153980338287
"cluster3.modal_locationWC_DNCTL",50.9758106408056
"modal_locationWBC_DNCTL",50.7538183233842
"cluster1",48.007102556973
"cluster2.sd_speed",46.4337551948687
"cluster4.sd_speed",45.8299856244445
"cluster2.modal_locationWW_DCTL",44.2292113619103
"modal_locationWC_DNCTL",42.8985022029067
"cluster2.location_entropy",38.4191299324527
"cluster2.modal_locationWB_DNCTL",36.0607782962655
"cluster2.modal_locationWBC_DNCTL",34.1443183030816
"cluster4.location_entropy",32.8267826430527
"sd_speed",26.2583145192314
"modal_locationWB_DNCTL",20.0482107140868
"cluster2.avg_speed",8.10990225021986
"modal_locationWW_DCTL",0
