"Variable","Overall"
"location_entropy",100
"cluster4.avg_speed",73.7361959270654
"avg_speed",73.5876602763254
"cluster2",73.2133354546633
"cluster2.modal_locationWB_DNCTL",70.2775354559442
"cluster2.modal_locationWW_DCTL",67.1616673627448
"cluster3",61.6013159698172
"cluster2.modal_locationWBC_DNCTL",59.2585437595468
"cluster2.location_entropy",55.8908728680724
"cluster3.modal_locationWBC_DNCTL",55.3378340565111
"cluster3.modal_locationWB_DNCTL",54.8168809351953
"cluster4.modal_locationWB_DNCTL",53.1918907239644
"modal_locationWC_DNCTL",46.1589687530416
"cluster2.modal_locationWBW_DNCTL",45.2890510830813
"modal_locationWBC_DNCTL",42.5213683978493
"cluster4.modal_locationWC_DNCTL",41.70845585917
"cluster4.location_entropy",40.1656675234285
"cluster3.modal_locationWBW_DNCTL",39.9276871081028
"cluster3.avg_speed",38.5709336384217
"cluster1",35.6539326471551
"cluster3.location_entropy",34.8781953776935
"cluster4",33.3395064168446
"cluster2.modal_locationWC_DNCTL",32.7947579372409
"cluster2.sd_speed",32.5900090304413
"cluster4.modal_locationWBC_DNCTL",32.4570066171137
"sd_speed",29.6670935739922
"cluster4.modal_locationWW_DCTL",29.1287658051713
"cluster3.modal_locationWC_DNCTL",27.4323361126488
"cluster3.sd_speed",25.4342976612731
"modal_locationWW_DCTL",21.4228267244134
"cluster3.modal_locationWW_DCTL",18.9690212616005
"cluster2.avg_speed",18.0851001046952
"modal_locationWB_DNCTL",12.9844480564019
"cluster4.modal_locationWBW_DNCTL",12.5684254833331
"cluster4.sd_speed",11.5044328688977
"modal_locationWBW_DNCTL",0
