"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.538250000183957,0.00336732050388013,159.845194291347,2.70449629245805e-120
"cluster1",0.00574987964001557,0.00822473328541484,0.699096182269156,0.486147833522141
"cluster2",-0.00712106290467363,0.0112567208731271,-0.632605443888508,0.528464613970967
"cluster3",-0.0238129182673967,0.010199672054641,-2.33467489345027,0.0216009099059691
"cluster4",NA,NA,NA,NA
"avg_speed",-0.0098408779230941,0.0124800976212707,-0.78852571684388,0.432292606621117
"sd_speed",0.0238216560172354,0.0118158511944082,2.01607616965495,0.0465290841941998
"location_entropy",-0.00963283911856234,0.00696343889203173,-1.3833451069105,0.169702366330575
"modal_locationWB_DNCTL",0.00153706773840251,0.0096863655932485,0.158683638729666,0.874244677605453
"modal_locationWBC_DNCTL",-0.00600250235801974,0.00501945308132132,-1.19584788636766,0.234641407534863
"modal_locationWBW_DNCTL",0.00478809614937872,0.00750997148802111,0.637565156807324,0.525243592563795
"modal_locationWC_DNCTL",-0.0190882554358609,0.00844757150272201,-2.25961454480855,0.0260593946906621
"modal_locationWW_DCTL",NA,NA,NA,NA
"cluster2.avg_speed",0.0236401755987232,0.0113038021058351,2.09134726328232,0.0390831932927517
"cluster3.avg_speed",-0.00127702595467306,0.0103781217130577,-0.123049814791275,0.902319654608533
"cluster4.avg_speed",0.00876662922117494,0.00518049928253351,1.69223635465647,0.0937781599545984
"cluster2.sd_speed",-0.00456281967100315,0.00553085883841392,-0.824974891659255,0.411389430479293
"cluster3.sd_speed",-0.0115088746367894,0.00603297369668549,-1.90766199479908,0.0593625941953789
"cluster4.sd_speed",-0.0184543319517122,0.00786050680426619,-2.34772800421677,0.020898480525456
"cluster2.location_entropy",0.0133068924282887,0.00588442167683458,2.26137642050271,0.0259461173984494
"cluster3.location_entropy",0.0135977790987433,0.0046546737298675,2.92131734421917,0.00432655527111452
"cluster4.location_entropy",0.0071940936887667,0.00498661838514141,1.44267981488274,0.152299296219845
"cluster2.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWB_DNCTL",0.00260898643108335,0.00936990353967735,0.2784432539818,0.781258784967854
"cluster4.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBW_DNCTL",-0.00546455667308336,0.0068847940909415,-0.793713886123801,0.429279671086232
"cluster3.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWC_DNCTL",-0.000220880088271697,0.00684915774234589,-0.0322492336402291,0.97433888375366
"cluster3.modal_locationWC_DNCTL",0.0112722808008185,0.00798493792886119,1.41169297760917,0.16120761163693
"cluster4.modal_locationWC_DNCTL",0.0154692646286945,0.00571078846661504,2.70877913253607,0.00797094528669563
"cluster2.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster3.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster4.modal_locationWW_DCTL",NA,NA,NA,NA
