"Feature","Gain","Cover","Frequency"
"sd_speed",0.248030879918106,0.190422950014998,0.229357798165138
"avg_speed",0.231233630092703,0.231763518856862,0.297247706422018
"location_entropy",0.192871996867397,0.150554934416842,0.177981651376147
"cluster3.sd_speed",0.0746834941235857,0.0581931226309618,0.0348623853211009
"cluster3.location_entropy",0.0713876892482109,0.0834719533146083,0.0513761467889908
"cluster4.avg_speed",0.0657625374165182,0.088953123721742,0.0605504587155963
"cluster4.location_entropy",0.05200841498933,0.0789997545744594,0.0532110091743119
"cluster2.location_entropy",0.0276493297730555,0.037331951678438,0.0220183486238532
"cluster1",0.00889192354387813,0.00111804968503722,0.00917431192660551
"cluster4.sd_speed",0.00795172679435111,0.021188405006681,0.018348623853211
"modal_locationWW_DCTL",0.00621892526615211,0.0169889013116632,0.0110091743119266
"cluster2.avg_speed",0.0043540858649473,0.00054539009026206,0.0036697247706422
"cluster3.avg_speed",0.0028264339628184,0.0234790433857817,0.0128440366972477
"cluster3",0.00202772464985065,0.00027269504513103,0.0018348623853211
"cluster4.modal_locationWC_DNCTL",0.00201653724657086,0.00649014207411851,0.0036697247706422
"cluster2.sd_speed",0.0013108158082473,0.00327234054157236,0.0055045871559633
"modal_locationWBW_DNCTL",0.000773854434277976,0.00695372365084126,0.0073394495412844
