"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL"
"1",8,0.216216216216216,0,0,0,0
"1",9,0,0.243243243243243,0,0,0
"1",2,0,0,0.0540540540540541,0,0.0540540540540541
"1",16,0,0,0,0.432432432432432,0
"2",8,0.205128205128205,0,0,0,0
"2",22,0,0.564102564102564,0,0,0
"2",4,0,0,0.102564102564103,0.102564102564103,0
"2",1,0,0,0,0,0.0256410256410256
"3",8,0,0.444444444444444,0,0,0
"3",3,0,0,0.166666666666667,0,0
"3",7,0,0,0,0.388888888888889,0
"4",3,0.075,0,0,0,0
"4",17,0,0.425,0,0,0
"4",1,0,0,0.025,0,0.025
"4",18,0,0,0,0.45,0
