"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL"
"1",5,0.185185185185185,0,0,0,0
"1",3,0,0.111111111111111,0.111111111111111,0,0
"1",16,0,0,0,0.592592592592593,0
"2",1,0.0588235294117647,0,0.0588235294117647,0,0.0588235294117647
"2",2,0,0.117647058823529,0,0,0
"2",12,0,0,0,0.705882352941177,0
"3",2,0.0952380952380952,0,0.0952380952380952,0,0
"3",10,0,0.476190476190476,0,0,0
"3",7,0,0,0,0.333333333333333,0
"4",2,0.0512820512820513,0,0.0512820512820513,0,0
"4",22,0,0.564102564102564,0,0,0
"4",12,0,0,0,0.307692307692308,0
"4",1,0,0,0,0,0.0256410256410256
