"importance","n","WBC_DCTL","WBC_DNCTL","WBW_DCTL","WBW_DNCTL","WB_DCTL","WB_DNCTL","WC_DCTL","WC_DNCTL","WW_DCTL","WW_DNCTL"
3.28,58,0.045958795562599,0,0,0,0,0,0,0,0,0
3.28,220,0,0.1743264659271,0,0,0,0,0,0,0,0
3.28,28,0,0,0.0221870047543582,0,0,0,0,0,0,0
3.28,179,0,0,0,0.141838351822504,0,0,0,0,0,0
3.28,18,0,0,0,0,0.0142630744849445,0,0,0,0,0
3.28,101,0,0,0,0,0,0.0800316957210777,0,0,0,0
3.28,80,0,0,0,0,0,0,0.063391442155309,0,0,0
3.28,301,0,0,0,0,0,0,0,0.23851030110935,0,0
3.28,207,0,0,0,0,0,0,0,0,0.164025356576862,0
3.28,70,0,0,0,0,0,0,0,0,0,0.0554675118858954
9.87,56,0.0293040293040293,0,0,0,0,0,0,0,0,0
9.87,234,0,0.122448979591837,0,0,0,0,0,0,0,0
9.87,74,0,0,0.0387231815803244,0,0,0,0,0,0,0
9.87,425,0,0,0,0.22239665096808,0,0,0,0,0,0
9.87,42,0,0,0,0,0.021978021978022,0,0,0,0,0
9.87,215,0,0,0,0,0,0.11250654107797,0,0,0,0
9.87,105,0,0,0,0,0,0,0.0549450549450549,0,0,0
9.87,404,0,0,0,0,0,0,0,0.211407639979069,0,0
9.87,252,0,0,0,0,0,0,0,0,0.131868131868132,0
9.87,104,0,0,0,0,0,0,0,0,0,0.054421768707483
10.63,57,0.0272727272727273,0,0,0,0,0,0,0,0,0
10.63,249,0,0.119138755980861,0,0,0,0,0,0,0,0
10.63,75,0,0,0.0358851674641148,0,0,0,0,0,0,0
10.63,409,0,0,0,0.195693779904306,0,0,0,0,0,0
10.63,41,0,0,0,0,0.0196172248803828,0,0,0,0,0
10.63,239,0,0,0,0,0,0.114354066985646,0,0,0,0
10.63,133,0,0,0,0,0,0,0.0636363636363636,0,0,0
10.63,469,0,0,0,0,0,0,0,0.224401913875598,0,0
10.63,302,0,0,0,0,0,0,0,0,0.144497607655502,0
10.63,116,0,0,0,0,0,0,0,0,0,0.0555023923444976
18.7,163,0.0448541552008806,0,0,0,0,0,0,0,0,0
18.7,687,0,0.18904788112273,0,0,0,0,0,0,0,0
18.7,99,0,0,0.027242707760044,0,0,0,0,0,0,0
18.7,619,0,0,0,0.170335718216841,0,0,0,0,0,0
18.7,88,0,0,0,0,0.0242157402311502,0,0,0,0,0
18.7,408,0,0,0,0,0,0.112272977435333,0,0,0,0
18.7,178,0,0,0,0,0,0,0.0489818381948266,0,0,0
18.7,577,0,0,0,0,0,0,0,0.158778205833792,0,0
18.7,599,0,0,0,0,0,0,0,0,0.16483214089158,0
18.7,216,0,0,0,0,0,0,0,0,0,0.0594386351128233
23.07,111,0.044758064516129,0,0,0,0,0,0,0,0,0
23.07,488,0,0.196774193548387,0,0,0,0,0,0,0,0
23.07,51,0,0,0.0205645161290323,0,0,0,0,0,0,0
23.07,414,0,0,0,0.166935483870968,0,0,0,0,0,0
23.07,58,0,0,0,0,0.0233870967741935,0,0,0,0,0
23.07,227,0,0,0,0,0,0.0915322580645161,0,0,0,0
23.07,121,0,0,0,0,0,0,0.0487903225806452,0,0,0
23.07,490,0,0,0,0,0,0,0,0.19758064516129,0,0
23.07,373,0,0,0,0,0,0,0,0,0.150403225806452,0
23.07,147,0,0,0,0,0,0,0,0,0,0.0592741935483871
26.12,219,0.0357726233257106,0,0,0,0,0,0,0,0,0
26.12,816,0,0.133289774583469,0,0,0,0,0,0,0,0
26.12,212,0,0,0.0346292061417837,0,0,0,0,0,0,0
26.12,1176,0,0,0,0.192094086899706,0,0,0,0,0,0
26.12,120,0,0,0,0,0.0196014374387455,0,0,0,0,0
26.12,729,0,0,0,0,0,0.119078732440379,0,0,0,0
26.12,313,0,0,0,0,0,0,0.0511270826527279,0,0,0
26.12,1263,0,0,0,0,0,0,0,0.206305129042796,0,0
26.12,899,0,0,0,0,0,0,0,0,0.146847435478602,0
26.12,375,0,0,0,0,0,0,0,0,0,0.0612544919960797
27.19,163,0.0418915445900797,0,0,0,0,0,0,0,0,0
27.19,682,0,0.175276278591622,0,0,0,0,0,0,0,0
27.19,85,0,0,0.0218452839886919,0,0,0,0,0,0,0
27.19,628,0,0,0,0.161398098175276,0,0,0,0,0,0
27.19,71,0,0,0,0,0.0182472372140838,0,0,0,0,0
27.19,412,0,0,0,0,0,0.105885376509895,0,0,0,0
27.19,211,0,0,0,0,0,0,0.0542277049601645,0,0,0
27.19,719,0,0,0,0,0,0,0,0.184785402210229,0,0
27.19,669,0,0,0,0,0,0,0,0,0.171935235158057,0
27.19,251,0,0,0,0,0,0,0,0,0,0.0645078386019018
27.39,24,0.0535714285714286,0,0,0,0,0,0,0,0,0
27.39,96,0,0.214285714285714,0,0,0,0,0,0,0,0
27.39,11,0,0,0.0245535714285714,0,0,0,0,0,0,0
27.39,79,0,0,0,0.176339285714286,0,0,0,0,0,0
27.39,12,0,0,0,0,0.0267857142857143,0,0,0,0,0
27.39,72,0,0,0,0,0,0.160714285714286,0,0,0,0
27.39,10,0,0,0,0,0,0,0.0223214285714286,0,0,0
27.39,59,0,0,0,0,0,0,0,0.131696428571429,0,0
27.39,49,0,0,0,0,0,0,0,0,0.109375,0
27.39,36,0,0,0,0,0,0,0,0,0,0.0803571428571429
32.48,75,0.0267379679144385,0,0,0,0,0,0,0,0,0
32.48,369,0,0.131550802139037,0,0,0,0,0,0,0,0
32.48,107,0,0,0.0381461675579323,0,0,0,0,0,0,0
32.48,652,0,0,0,0.232442067736185,0,0,0,0,0,0
32.48,57,0,0,0,0,0.0203208556149733,0,0,0,0,0
32.48,411,0,0,0,0,0,0.146524064171123,0,0,0,0
32.48,149,0,0,0,0,0,0,0.0531194295900178,0,0,0
32.48,513,0,0,0,0,0,0,0,0.182887700534759,0,0
32.48,326,0,0,0,0,0,0,0,0,0.116221033868093,0
32.48,146,0,0,0,0,0,0,0,0,0,0.0520499108734403
36.5,123,0.0531547104580812,0,0,0,0,0,0,0,0,0
36.5,563,0,0.243301642178047,0,0,0,0,0,0,0,0
36.5,92,0,0,0.0397579948141746,0,0,0,0,0,0,0
36.5,421,0,0,0,0.181936041486603,0,0,0,0,0,0
36.5,77,0,0,0,0,0.033275713050994,0,0,0,0,0
36.5,343,0,0,0,0,0,0.148228176318064,0,0,0,0
36.5,65,0,0,0,0,0,0,0.0280898876404494,0,0,0
36.5,308,0,0,0,0,0,0,0,0.133102852203976,0,0
36.5,198,0,0,0,0,0,0,0,0,0.0855661192739844,0
36.5,124,0,0,0,0,0,0,0,0,0,0.0535868625756266
39.94,43,0.0423645320197044,0,0,0,0,0,0,0,0,0
39.94,144,0,0.141871921182266,0,0,0,0,0,0,0,0
39.94,44,0,0,0.0433497536945813,0,0,0,0,0,0,0
39.94,266,0,0,0,0.262068965517241,0,0,0,0,0,0
39.94,18,0,0,0,0,0.0177339901477833,0,0,0,0,0
39.94,168,0,0,0,0,0,0.16551724137931,0,0,0,0
39.94,28,0,0,0,0,0,0,0.0275862068965517,0,0,0
39.94,165,0,0,0,0,0,0,0,0.16256157635468,0,0
39.94,91,0,0,0,0,0,0,0,0,0.0896551724137931,0
39.94,48,0,0,0,0,0,0,0,0,0,0.0472906403940887
44.82,29,0.0287698412698413,0,0,0,0,0,0,0,0,0
44.82,149,0,0.14781746031746,0,0,0,0,0,0,0,0
44.82,50,0,0,0.0496031746031746,0,0,0,0,0,0,0
44.82,251,0,0,0,0.249007936507937,0,0,0,0,0,0
44.82,22,0,0,0,0,0.0218253968253968,0,0,0,0,0
44.82,129,0,0,0,0,0,0.12797619047619,0,0,0,0
44.82,41,0,0,0,0,0,0,0.0406746031746032,0,0,0
44.82,179,0,0,0,0,0,0,0,0.177579365079365,0,0
44.82,92,0,0,0,0,0,0,0,0,0.0912698412698413,0
44.82,66,0,0,0,0,0,0,0,0,0,0.0654761904761905
45.31,76,0.0375308641975309,0,0.0375308641975309,0,0,0,0,0,0,0
45.31,306,0,0.151111111111111,0,0,0,0,0,0,0,0
45.31,426,0,0,0,0.21037037037037,0,0,0,0,0,0
45.31,45,0,0,0,0,0.0222222222222222,0,0,0,0,0
45.31,273,0,0,0,0,0,0.134814814814815,0,0,0,0
45.31,90,0,0,0,0,0,0,0.0444444444444444,0,0,0
45.31,407,0,0,0,0,0,0,0,0.200987654320988,0,0
45.31,224,0,0,0,0,0,0,0,0,0.110617283950617,0
45.31,102,0,0,0,0,0,0,0,0,0,0.0503703703703704
45.83,97,0.0311796849887496,0,0,0,0,0,0,0,0,0
45.83,403,0,0.129540340726455,0,0,0,0,0,0,0,0
45.83,134,0,0,0.0430729668916747,0,0,0,0,0,0,0
45.83,720,0,0,0,0.231436837029894,0,0,0,0,0,0
45.83,59,0,0,0,0,0.0189649630343941,0,0,0,0,0
45.83,400,0,0,0,0,0,0.128576020572163,0,0,0,0
45.83,182,0,0,0,0,0,0,0.0585020893603343,0,0,0
45.83,596,0,0,0,0,0,0,0,0.191578270652523,0,0
45.83,376,0,0,0,0,0,0,0,0,0.120861459337833,0
45.83,144,0,0,0,0,0,0,0,0,0,0.0462873674059788
46.26,82,0.0470453241537579,0,0,0,0,0,0,0,0,0
46.26,360,0,0.206540447504303,0,0,0,0,0,0,0,0
46.26,40,0,0,0.0229489386115892,0,0,0,0,0,0,0
46.26,301,0,0,0,0.172690763052209,0,0,0,0,0,0
46.26,39,0,0,0,0,0.0223752151462995,0,0,0,0,0
46.26,228,0,0,0,0,0,0.130808950086059,0,0,0,0
46.26,68,0,0,0,0,0,0,0.0390131956397017,0,0,0
46.26,297,0,0,0,0,0,0,0,0.17039586919105,0,0
46.26,224,0,0,0,0,0,0,0,0,0.1285140562249,0
46.26,104,0,0,0,0,0,0,0,0,0,0.059667240390132
72.81,112,0.0427970959113489,0,0,0,0,0,0,0,0,0
72.81,559,0,0.213603362628964,0,0,0,0,0,0,0,0
72.81,70,0,0,0.026748184944593,0,0,0,0,0,0,0
72.81,495,0,0,0,0.189147879251051,0,0,0,0,0,0
72.81,50,0,0,0,0,0.019105846388995,0,0,0,0,0
72.81,325,0,0,0,0,0,0.124188001528468,0,0,0,0
72.81,95,0,0,0,0,0,0,0.0363011081390906,0,0,0
72.81,422,0,0,0,0,0,0,0,0.161253343523118,0,0
72.81,318,0,0,0,0,0,0,0,0,0.121513183034008,0
72.81,171,0,0,0,0,0,0,0,0,0,0.065341994650363
