"importance","n","WBC_DCTL","WBC_DNCTL","WBW_DCTL","WBW_DNCTL","WB_DCTL","WB_DNCTL","WC_DCTL","WC_DNCTL","WW_DCTL","WW_DNCTL"
2.53,43,0.048314606741573,0,0,0,0,0,0,0,0,0
2.53,122,0,0.137078651685393,0,0,0,0,0,0,0,0
2.53,22,0,0,0.0247191011235955,0,0,0,0,0,0,0
2.53,137,0,0,0,0.153932584269663,0,0,0,0,0,0
2.53,13,0,0,0,0,0.0146067415730337,0,0,0,0,0
2.53,66,0,0,0,0,0,0.0741573033707865,0,0,0,0
2.53,52,0,0,0,0,0,0,0.0584269662921348,0,0,0
2.53,222,0,0,0,0,0,0,0,0.249438202247191,0,0
2.53,157,0,0,0,0,0,0,0,0,0.176404494382022,0
2.53,56,0,0,0,0,0,0,0,0,0,0.0629213483146067
8.11,49,0.0373475609756098,0,0,0,0,0,0,0,0,0
8.11,148,0,0.11280487804878,0,0,0,0,0,0,0,0
8.11,46,0,0,0.0350609756097561,0,0,0,0,0,0,0
8.11,253,0,0,0,0.192835365853659,0,0,0,0,0,0
8.11,28,0,0,0,0,0.0213414634146341,0,0,0,0,0
8.11,168,0,0,0,0,0,0.128048780487805,0,0,0,0
8.11,72,0,0,0,0,0,0,0.0548780487804878,0,0,0
8.11,297,0,0,0,0,0,0,0,0.226371951219512,0,0
8.11,185,0,0,0,0,0,0,0,0,0.141006097560976,0
8.11,66,0,0,0,0,0,0,0,0,0,0.0503048780487805
8.6,63,0.0431802604523646,0,0,0,0,0,0,0,0,0
8.6,164,0,0.11240575736806,0,0,0,0,0,0,0,0
8.6,49,0,0,0.0335846470185058,0,0,0,0,0,0,0
8.6,274,0,0,0,0.187799862919808,0,0,0,0,0,0
8.6,35,0,0,0,0,0.023989033584647,0,0,0,0,0
8.6,161,0,0,0,0,0,0.110349554489376,0,0,0,0
8.6,95,0,0,0,0,0,0,0.0651130911583276,0,0,0
8.6,317,0,0,0,0,0,0,0,0.217272104180946,0,0
8.6,230,0,0,0,0,0,0,0,0,0.157642220699109,0
8.6,71,0,0,0,0,0,0,0,0,0,0.0486634681288554
15.93,120,0.0488003253355022,0,0,0,0,0,0,0,0,0
