"ServerName","SQS_logodds","SE_SQS","CI_low","CI_high","MeasuredSkill","UnmeasuredCraft"
"Carlos Taberner",-0.365725335493184,0.182151088461607,-0.722734908622703,-0.00871576236366539,-0.795257611313265,0.429532275820081
"Jiri Vesely",-0.394772587906514,0.17878736284483,-0.745189379973275,-0.0443557958397525,-0.536172444412266,0.141399856505752
"Denis Kudla",-0.43037431871855,0.157431547923523,-0.738934482679048,-0.121814154758053,-0.764021401359629,0.333647082641079
"Vasek Pospisil",-0.430561143724695,0.165351777475869,-0.754644672357079,-0.106477615092311,-0.617132388648012,0.186571244923317
"James Duckworth",-0.456517226871475,0.154246791623365,-0.758835383184126,-0.154199070558825,-0.731328743252079,0.274811516380604
"Kevin Anderson",-0.479013773206937,0.152394131597921,-0.777700782594119,-0.180326763819755,-0.570803540398668,0.0917897671917308
"Alexei Popyrin",-0.484440066456287,0.149692997702445,-0.777832950690916,-0.191047182221658,-0.698200160899226,0.213760094442939
"Marco Cecchinato",-0.515498828722392,0.184138683443451,-0.876404016432178,-0.154593641012606,-0.636372985795956,0.120874157073564
"Ilya Ivashka",-0.528132478401204,0.134998622761575,-0.7927249169764,-0.263540039826007,-0.842733427482873,0.314600949081669
"Cristian Garin",-0.535232548603925,0.159847136142388,-0.848527178474876,-0.221937918732973,-0.822473987010365,0.287241438406441
"John Isner",-0.536646741668599,0.141201741898002,-0.813397070343004,-0.259896412994195,-0.544663863762188,0.00801712209358826
"Peter Gojowczyk",-0.54849383126364,0.137579095259076,-0.818143902997034,-0.278843759530245,-0.802403597104024,0.253909765840384
"Roberto Bautista Agut",-0.548737344849116,0.172004925661834,-0.885860804309799,-0.211613885388432,-0.784799632530833,0.236062287681717
"Stefano Travaglia",-0.550072120703062,0.188608681300112,-0.919738343222875,-0.18040589818325,-0.742999074132036,0.192926953428973
"Egor Gerasimov",-0.552671018003996,0.175900672925848,-0.897430001795017,-0.207912034212975,-0.701294575758862,0.148623557754866
"Steve Johnson",-0.553175636600399,0.158378472960697,-0.863591739529815,-0.242759533670983,-0.691530830228267,0.138355193627868
"Roman Safiullin",-0.553491706954468,0.168905562017325,-0.884540525296921,-0.222442888612015,-0.743474613574861,0.189982906620394
"Nikoloz Basilashvili",-0.561061923028326,0.158394900283736,-0.871510222919262,-0.250613623137391,-0.727443772532363,0.166381849504037
"Jeremy Chardy",-0.563922421001969,0.173556436529396,-0.904086785884697,-0.22375805611924,-0.624547802008924,0.0606253810069552
"Sam Querrey",-0.572609303609649,0.193139582153874,-0.951155928620357,-0.194062678598942,-0.618463082868962,0.0458537792593123
"Roberto Carballes Baena",-0.577005854560902,0.13361314454497,-0.838882805730187,-0.315128903391617,-0.803317268403131,0.226311413842229
"Tallon Griekspoor",-0.578598666824002,0.154410446742486,-0.881237581276015,-0.275959752371989,-0.68074386989309,0.102145203069088
"Tim Van Rijthoven",-0.591457637293897,0.192818792949433,-0.969375527017273,-0.213539747570522,-0.639282104731203,0.0478244674373055
"Yosuke Watanuki",-0.592871326335361,0.180565286454856,-0.946772784645037,-0.238969868025685,-0.685637574415947,0.0927662480805855
"Miomir Kecmanovic",-0.593768472205091,0.143818565380569,-0.875647680659224,-0.311889263750958,-0.790646967996737,0.196878495791646
"Jiri Lehecka",-0.597167261552847,0.195950065521469,-0.98122233274319,-0.213112190362504,-0.74298658759324,0.145819326040393
"Gianluca Mager",-0.599549920839586,0.189516970875578,-0.970996358214846,-0.228103483464326,-0.665647335335901,0.0660974144963148
"Marton Fucsovics",-0.604555819073222,0.133602834018158,-0.866412561981293,-0.34269907616515,-0.759052336981428,0.154496517908206
"Mikael Ymer",-0.604755278913097,0.18424005411171,-0.965859149481759,-0.243651408344435,-0.938485841043422,0.333730562130325
"Ben Shelton",-0.606307790235638,0.144659120117108,-0.889834455700422,-0.322781124770853,-0.654353017465227,0.0480452272295895
"Reilly Opelka",-0.61194809353055,0.163358006353566,-0.932123902569804,-0.291772284491296,-0.612242791866825,0.000294698336274775
"Alexander Bublik",-0.613497706658277,0.155726430463708,-0.918715901808126,-0.308279511508428,-0.773187852434974,0.159690145776697
"Laslo Djere",-0.615750833929134,0.136387911071271,-0.883066227555477,-0.34843544030279,-0.774627932277323,0.158877098348189
"Henri Laaksonen",-0.620332438824342,0.176451760661556,-0.966171534729672,-0.274493342919011,-0.977131692882006,0.356799254057665
"Aslan Karatsev",-0.621811141632306,0.15985624962366,-0.935123633598324,-0.308498649666288,-0.747110893422593,0.125299751790286
"Hubert Hurkacz",-0.622920829509909,0.1435904293869,-0.904352899632874,-0.341488759386944,-0.767843151436881,0.144922321926972
"Francisco Cerundolo",-0.625139683772592,0.177252583733737,-0.972548364057387,-0.277731003487797,-0.833942284536991,0.208802600764399
"Jaume Munar",-0.625780266616493,0.162467424023177,-0.944210566362918,-0.307349966870068,-0.846949781831145,0.221169515214652
"Benjamin Bonzi",-0.63280079102111,0.147058663148378,-0.921030474406539,-0.344571107635681,-0.707708822108985,0.0749080310878751
"Kamil Majchrzak",-0.638754248731918,0.197652662154652,-1.0261463480035,-0.251362149460337,-0.73459804988708,0.0958438011551616
"Thiago Seyboth Wild",-0.648637681680943,0.190136567454055,-1.02129850603496,-0.275976857326925,-0.750658913644123,0.10202123196318
"Radu Albot",-0.648931778017191,0.148817963089335,-0.940609625924899,-0.357253930109483,-0.798244854909204,0.149313076892013
"Federico Delbonis",-0.651552523758349,0.181958067613885,-1.00818378297807,-0.29492126453863,-0.734879759326555,0.0833272355682063
"Arthur Rinderknech",-0.652257283204245,0.122912650104585,-0.893161650653605,-0.411352915754884,-0.708058652813538,0.0558013696092936
"Bradley Klahn",-0.657051160245218,0.186492698618118,-1.02257013291641,-0.291532187574025,-0.552905775333847,-0.104145384911371
"Feliciano Lopez",-0.659373400967495,0.171543794209157,-0.995593059388794,-0.323153742546197,-0.690826269697133,0.0314528687296382
"Filip Krajinovic",-0.661779004451337,0.174412960878144,-1.00362212620949,-0.319935882693182,-0.778201625768379,0.116422621317042
"Benoit Paire",-0.662781641823558,0.165525039847986,-0.987204758465168,-0.338358525181948,-0.858501092821116,0.195719450997558
"Pavel Kotov",-0.665542013461573,0.167388473377689,-0.993617392708985,-0.337466634214162,-0.893446448044605,0.227904434583032
"Borna Gojo",-0.667111158683656,0.199404976583727,-1.05793773112581,-0.276284586241498,-0.703861106693946,0.0367499480102904
"Hugo Gaston",-0.668776249108839,0.195195745319879,-1.05135287987126,-0.286199618346424,-0.799677058438409,0.130900809329569
"David Goffin",-0.675704381952005,0.12827342779165,-0.927115680597139,-0.424293083306872,-0.826018678885689,0.150314296933684
"Yibing Wu",-0.678065724752846,0.173012584709179,-1.01716415965502,-0.338967289850669,-0.758877993248424,0.0808122684955788
"Facundo Bagnis",-0.682296881165855,0.170731068502843,-1.01692362647347,-0.347670135858242,-0.785125647951613,0.102828766785758
"Yannick Hanfmann",-0.68413649677902,0.177652353152957,-1.03232871072761,-0.335944282830432,-0.704277007082239,0.0201405103032193
"Marius Copil",-0.686915551152218,0.198372324715334,-1.07571816312376,-0.298112939180678,-0.667854073279385,-0.0190614778728324
"Norbert Gombos",-0.689119514018289,0.192264167353875,-1.06595035754947,-0.312288670487112,-0.762553841656052,0.0734343276377631
"Stan Wawrinka",-0.691873034797613,0.123653468120846,-0.934229378877943,-0.449516690717283,-0.697584529837286,0.00571149503967232
"Thanasi Kokkinakis",-0.693160276492741,0.160036855635042,-1.00682674973646,-0.379493803249022,-0.735321254422541,0.0421609779298003
"Mischa Zverev",-0.694780708164517,0.183414350733036,-1.05426622984906,-0.33529518647997,-0.81131750264066,0.116536794476143
"Gabriel Diallo",-0.703168242495528,0.188328917927664,-1.07228613888115,-0.334050346109908,-0.66983359136399,-0.0333346511315387
"Aljaz Bedene",-0.703212529173776,0.18679755299841,-1.06932900545087,-0.33709605289668,-0.759580167577427,0.0563676384036511
"Dominic Thiem",-0.703842654855893,0.131629148416031,-0.96183104506699,-0.445854264644795,-0.73873777748188,0.0348951226259873
"Quentin Halys",-0.705824570686091,0.166272674253041,-1.03171302383521,-0.379936117536971,-0.639409656996557,-0.0664149136895338
"Max Purcell",-0.708991135429544,0.196977035196063,-1.09505903019531,-0.322923240663781,-0.75576589997618,0.0467747645466358
"Federico Coria",-0.710286942188148,0.174422501294294,-1.05214876281836,-0.368425121557941,-0.850335969271489,0.14004902708334
"Thomas Fabbiano",-0.712556559157488,0.199158804947087,-1.10290064405782,-0.322212474257159,-0.778211787138468,0.0656552279809805
"Marin Cilic",-0.723437242865608,0.127694121902296,-0.973713122831575,-0.47316136289964,-0.758506648864091,0.0350694059984833
"Nick Kyrgios",-0.725346170521701,0.137724890699579,-0.995281996067592,-0.45541034497581,-0.539830417335859,-0.185515753185842
