"ServerName","SQS_logodds","SE_SQS","CI_low","CI_high","MeasuredSkill","UnmeasuredCraft"
"Elena Rybakina",-0.00803479154961698,0.0829855943437414,-0.170683567699001,0.154613984599767,-0.181175984660747,0.17314119311113
"Serena Williams",-0.0761720097632345,0.0874233784177715,-0.247518682868883,0.0951746633424139,-0.175783242886007,0.0996112331227722
"Ashleigh Barty",-0.103961814329965,0.0861446549544625,-0.272802235501341,0.0648786068414114,-0.247519638558749,0.143557824228784
"Donna Vekic",-0.119168339926306,0.0924093585765545,-0.3002873545708,0.0619506747181885,-0.256394958071454,0.137226618145149
"Qinwen Zheng",-0.13931166849697,0.111452842427311,-0.357755225629117,0.0791318886351772,-0.235364212804763,0.0960525443077925
"Julia Goerges",-0.144158892281773,0.0958745619444456,-0.332069580726441,0.0437517961628947,-0.145876339584516,0.00171744730274278
"Aryna Sabalenka",-0.171817542860807,0.0987399649280969,-0.365344317954625,0.0217092322330115,-0.252196244607626,0.0803787017468192
"Liudmila Samsonova",-0.192077114193483,0.108743837420086,-0.40521111907753,0.0210568906905639,-0.250905130831371,0.0588280166378883
"Johanna Konta",-0.195728619869614,0.0926484072928686,-0.377316161388634,-0.0141410783505931,-0.27919021185703,0.0834615919874168
"Petra Kvitova",-0.209853146266981,0.0869830512061122,-0.380336793896364,-0.0393694986375978,-0.34869529879985,0.138842152532869
"Barbora Strycova",-0.229040074911264,0.0999757034121065,-0.424988852928051,-0.0330912968944769,-0.32140724419514,0.0923671692838761
"Veronika Kudermetova",-0.234758928428879,0.108881836207661,-0.448163405966484,-0.0213544508912746,-0.306124741952362,0.0713658135234822
"Barbora Krejcikova",-0.237944940105202,0.0835543864809245,-0.401708528358155,-0.0741813518522498,-0.368048977630307,0.130104037525105
"Camila Giorgi",-0.249893968961766,0.103367678126185,-0.452490895254617,-0.0472970426689149,-0.228134069821397,-0.0217598991403688
"Ons Jabeur",-0.250789378141073,0.0845661283753867,-0.416535944068822,-0.0850428122133249,-0.324250640179315,0.0734612620382418
"Caroline Garcia",-0.253552541181503,0.0989893929196563,-0.447568186155514,-0.0595368962074928,-0.354129430017212,0.100576888835708
"Eugenie Bouchard",-0.26069008597372,0.116110313308045,-0.48826211829115,-0.0331180536562912,-0.25212631192646,-0.00856377404726086
"Jelena Ostapenko",-0.263520827074774,0.0881716737124945,-0.43633413200788,-0.0907075221416679,-0.426346073531984,0.16282524645721
"Kaia Kanepi",-0.270882331252216,0.111553538712055,-0.489523249475839,-0.0522414130285933,-0.307729022793819,0.0368466915416022
"Naomi Osaka",-0.281859508371232,0.103749135198363,-0.485204076787202,-0.0785149399552631,-0.30318461683111,0.0213251084598775
"Magdalena Rybarikova",-0.292643833828685,0.113144404285735,-0.514402791280964,-0.0708848763764047,-0.326668678872208,0.0340248450435235
"Karolina Muchova",-0.294055693885941,0.0986210938973992,-0.487349486040787,-0.100761901731096,-0.402336453058751,0.108280759172809
"Magda Linette",-0.295094074186372,0.105314758849676,-0.501507208572257,-0.0886809398004863,-0.300617630112689,0.00552355592631782
"Katie Boulter",-0.302736812635194,0.0935295165978149,-0.486051296658352,-0.119422328612036,-0.324229751270645,0.0214929386354514
"Harmony Tan",-0.302880957593986,0.111785154175558,-0.521975833784336,-0.0837860814036352,-0.40388248401679,0.101001526422804
"Polona Hercog",-0.3044510581651,0.117010219061035,-0.53378687334787,-0.0751152429823292,-0.255527168588252,-0.048923889576848
"Kiki Bertens",-0.306555390477169,0.0983875398316078,-0.49939142507462,-0.113719355879717,-0.239083351600254,-0.0674720388769151
"Maria Sakkari",-0.309120242754969,0.0968574975302752,-0.498957449546986,-0.119283035962953,-0.291265178000979,-0.0178550647539906
"Ekaterina Alexandrova",-0.310155110868941,0.1190338973096,-0.543457262535197,-0.076852959202685,-0.339906726671236,0.0297516158022949
"Stefanie Voegele",-0.321135538559041,0.116226426702642,-0.548935148948003,-0.0933359281700787,-0.329180026831715,0.00804448827267421
"Tatjana Maria",-0.325702950981809,0.0877533299112003,-0.497696317131223,-0.153709584832395,-0.312684940074611,-0.013018010907198
"Anna Kalinskaya",-0.328687741925349,0.116360432697243,-0.556749999237442,-0.100625484613256,-0.355069669164259,0.0263819272389095
"Madison Keys",-0.335407499557691,0.0891674006074057,-0.510172393343261,-0.160642605772121,-0.351490340414605,0.0160828408569144
"Alison Van Uytvanck",-0.335884128049503,0.0970285369370453,-0.526056565918726,-0.14571169018028,-0.31960411306594,-0.016280014983563
"Coco Gauff",-0.33596896884129,0.101258433921817,-0.534431852458979,-0.1375060852236,-0.35226733309306,0.0162983642517704
"Clara Tauson",-0.343258214717124,0.116361634502963,-0.571322827525146,-0.115193601909103,-0.388359930845636,0.0451017161285113
"Natalia Vikhlyantseva",-0.346450394006368,0.115155732064618,-0.572151481466364,-0.120749306546371,-0.34430245223735,-0.0021479417690174
"Lulu Sun",-0.353533836243234,0.109089935836031,-0.56734618155764,-0.139721490928827,-0.338795674277725,-0.014738161965509
"Paula Badosa",-0.35894113127782,0.0958037354213699,-0.54671300228811,-0.171169260267531,-0.373746220758394,0.0148050894805741
"Dalma Galfi",-0.360298393851251,0.110880268508812,-0.577619726724654,-0.142977060977848,-0.347291453850945,-0.0130069400003056
"Kirsten Flipkens",-0.362316882025204,0.11606485064426,-0.589799809158974,-0.134833954891433,-0.384841790756214,0.0225249087310107
"Victoria Azarenka",-0.374513308244968,0.0916323915227932,-0.554109495446916,-0.19491712104302,-0.361047338831526,-0.0134659694134415
"Monica Puig",-0.375410055672054,0.112797219207462,-0.596488542874949,-0.154331568469159,-0.39485103935173,0.0194409836796761
"Mandy Minella",-0.376410003456386,0.116495456905845,-0.604736903354381,-0.148083103558391,-0.363941316960349,-0.0124686864960371
"Petra Martic",-0.378488414208752,0.0967468463870596,-0.568108748745218,-0.188868079672286,-0.304618882175927,-0.0738695320328253
"Lucie Safarova",-0.378834516231391,0.111682528837833,-0.5977282504559,-0.159940782006883,-0.389708841266947,0.0108743250355554
"Kristina Mladenovic",-0.379734570986064,0.109196898373025,-0.593756559020674,-0.165712582951455,-0.314473091354185,-0.0652614796318797
"Clara Burel",-0.382308723347099,0.115375278338535,-0.608440113596912,-0.156177333097287,-0.398690838431516,0.0163821150844163
"Kaja Juvan",-0.383785567975698,0.103402760936853,-0.586451255313935,-0.181119880637462,-0.382058485072232,-0.00172708290346656
"Greet Minnen",-0.383816442282805,0.114481027159976,-0.60819513242951,-0.159437752136099,-0.370336168406805,-0.0134802738759999
"Shelby Rogers",-0.38590314923645,0.116658437275443,-0.614549484789043,-0.157256813683856,-0.405210771229305,0.0193076219928553
"Elina Svitolina",-0.38710527189802,0.0755637943798424,-0.535207587417701,-0.239002956378339,-0.402770722319266,0.0156654504212461
"Iga Swiatek",-0.387750212776703,0.0856443840047621,-0.555610120904155,-0.219890304649251,-0.455086496380859,0.0673362836041561
"Jule Niemeier",-0.389397637964646,0.0974960145405657,-0.580486315100348,-0.198308960828944,-0.426808521028786,0.0374108830641406
"Ana Bogdan",-0.38984653770719,0.117193614280894,-0.619541800915821,-0.160151274498559,-0.381247190003626,-0.00859934770356435
"Anett Kontaveit",-0.393988822586791,0.105069658716223,-0.599921569538503,-0.18805607563508,-0.437705427952153,0.0437166053653614
"Nina Stojanovic",-0.395509875454991,0.114821489873991,-0.620555860259244,-0.170463890650737,-0.335246486748298,-0.0602633887066927
"Venus Williams",-0.397392441694005,0.10515926916139,-0.603500821890883,-0.191284061497126,-0.479974172139378,0.0825817304453731
"Ekaterina Makarova",-0.398725871455201,0.107413366026017,-0.609252200324412,-0.18819954258599,-0.377450149991926,-0.0212757214632745
"Magdalena Frech",-0.39948227825409,0.110748945477001,-0.616546222714802,-0.182418333793378,-0.32755391524683,-0.0719283630072596
"Bianca Andreescu",-0.40211830843333,0.102224095703653,-0.602473854364665,-0.201762762501995,-0.46527362691618,0.0631553184828501
