"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_glm","overperf_rf","overperf_xgb","pred_lm","pred_glm","pred_rf","pred_xgb","rf_weighted_baseline"
"adam walton",101.117647058824,13.1467679404536,2.82915781674498,0.558823529411765,0.294117647058824,102,-0.0974346886552751,-0.396166155695785,-0.0550276110426885,-0.00205184256329255,0.391552335714099,0.396166155695785,0.349145258101512,0.296169489622116,-0.866947784725595
"adrian mannarino",99.0559322033898,14.7957890029395,2.96267725119248,0.547457627118644,0.374576271186441,590,-0.0181423690939015,-0.388758288936406,-0.00786121238056592,0.00050288499411888,0.392718640280342,0.388758288936406,0.382437483567007,0.374073386192322,-1.62621032119141
"alejandro davidovich fokina",105.124595469256,12.3511169941437,3.07622571419744,0.55663430420712,0.422330097087379,618,0.00891795876290347,0.495820003306767,0.0220470621549995,0.00060536039685738,0.413412138324475,0.504179996693233,0.400283034932379,0.421724736690521,0.207463622933593
"alejandro tabilo",100.453551912568,15.030254322762,3.05337851319311,0.590163934426229,0.519125683060109,183,0.115724697104675,0.56516912947538,0.0567932055922102,0.000494761219441586,0.403400985955434,0.43483087052462,0.462332477467899,0.518630921840668,-1.31909661107032
"aleksandar kovacevic",105.877049180328,14.7931064294242,2.82633768539919,0.516393442622951,0.401639344262295,122,-0.0249488105377503,-0.539072592927827,0.00483041323360933,0.00134802060049088,0.426588154800045,0.539072592927827,0.396808931028686,0.400291323661804,0.121413114745192
"aleksandar vukic",101.853658536585,13.5656810554888,2.71734936839917,0.48780487804878,0.329268292682927,82,-0.0664193319338297,-0.409313077519874,-0.0268506934558891,-0.00057352970286112,0.395687624616756,0.409313077519874,0.356118986138816,0.329841822385788,-0.716531790259197
"alex de minaur",102.56369107322,13.7939223861828,2.93597993816747,0.58876629889669,0.353059177532598,997,-0.0521504498757367,-0.452407088175666,-0.0301912872668136,-0.00145846115072129,0.405209627408334,0.452407088175666,0.383250464799411,0.354517638683319,-0.604248361709097
"alex michelsen",106.034090909091,12.3658043362782,3.02802605788521,0.477272727272727,0.329545454545455,176,-0.0878674244282201,-0.521621743558433,-0.0499842279488062,-0.000770045952363463,0.417412878973675,0.521621743558433,0.379529682494261,0.330315500497818,0.443648801423606
"alex molcan",102.172093023256,12.4207078669672,2.89563176310923,0.548837209302326,0.404651162790698,215,0.0103111627651922,-0.415437922129563,0.00909068090927895,0.00417268054429876,0.394340000025505,0.415437922129563,0.395560481881419,0.400478482246399,-0.516980936072212
"alexander bublik",108.821852731591,19.4439143959081,2.88437143567607,0.577197149643705,0.513064133016627,421,0.0425507766395626,0.311740370171569,0.0256827470806794,0.000976489870112229,0.470513356377065,0.688259629828431,0.487381385935948,0.512087643146515,0.248360871589052
"alexander shevchenko",102.559322033898,12.9394941351884,2.76882377319918,0.5,0.360169491525424,236,-0.0367110053409936,-0.420631352467153,-0.0179297245886375,0.000432870145571418,0.396880496866417,0.420631352467153,0.378099216114061,0.359736621379852,-0.465196867122507
"alexander zverev",116.118231046931,14.8387755837407,2.84389319982979,0.596570397111913,0.390794223826715,1108,-0.0913934984126338,-0.762564184200046,-0.0533766788341765,-0.000926369148901651,0.482187722239349,0.762564184200046,0.444170902660891,0.391720592975616,2.70081216902363
"alexandre muller",100.486013986014,13.8889636934149,2.94442653523838,0.517482517482518,0.321678321678322,286,-0.0730969697808968,-0.405247499474723,-0.040137401499502,-0.000861544292289906,0.394775291459218,0.405247499474723,0.361815723177824,0.322539865970612,-1.14321801544334
"alexei popyrin",108.97218710493,14.0022325578074,2.92790910493312,0.573957016434892,0.4551201011378,791,0.0144595255144637,0.390361710092242,0.0165040958775063,0.00116641776148801,0.440660575623337,0.609638289907758,0.438616005260294,0.453953683376312,0.989612926381711
"andreas seppi",100.285714285714,13.5141092026439,2.81626807569895,0.542857142857143,0.444897959183673,245,0.0559420729960468,0.61832421648999,0.0352727771283162,0.00129223818681679,0.388955886187627,0.381675783510009,0.409625182055357,0.443605720996857,-1.12298397994461
"andrey rublev",103.323138297872,16.7756705860283,2.84776642463011,0.590425531914894,0.418218085106383,1504,-0.00657732213444484,0.48644248044131,0.00873518755997238,0.000612476404677043,0.424795407240828,0.51355751955869,0.409482897546411,0.417605608701706,-0.786653708252811
"andy murray",104.514403292181,14.9727862537307,2.8273863750625,0.547325102880658,0.312757201646091,486,-0.107577468087485,-0.509133519089103,-0.0397119940814161,0.000156469796420144,0.420334669733575,0.509133519089103,0.352469195727507,0.31260073184967,-0.246628804207962
"arthur cazaux",102.623376623377,16.1188341626863,2.84881871328858,0.519480519480519,0.272727272727273,77,-0.144526135401122,-0.485162323610736,-0.076815005538089,-0.00265256383202295,0.417253408128395,0.485162323610736,0.349542278265362,0.275379836559296,-0.877907399126792
"arthur fils",107.795505617978,12.2788904598993,2.93060032590429,0.543820224719101,0.391011235955056,445,-0.0333995412558067,-0.552811855848642,-0.021974586468287,-0.00107866739958862,0.424410777210863,0.552811855848642,0.412985822423343,0.392089903354645,0.916830283825384
"arthur rinderknech",109.038383838384,14.2046483161599,2.90314610267879,0.545454545454545,0.454545454545455,990,0.0128534523223239,0.387915758451848,0.0153557383150473,0.0006205304102464,0.441692002223131,0.612084241548152,0.439189716230407,0.453924924135208,0.984139312738135
