"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.414603695431903,0.00485242419501741,85.4425909131415,3.36618088172433e-127
"cluster1",-0.00914602591453454,0.0171508871894179,-0.533268385100081,0.594653141283485
"cluster2",-0.0322794235360731,0.0256360928579131,-1.25913974937524,0.209975614933177
"cluster3",0.00320006099117333,0.00984739998042348,0.324965066670899,0.745669533051622
"cluster4",NA,NA,NA,NA
"avg_speed",0.00147465424346085,0.0261016806894871,0.0564965245343299,0.955022982957504
"sd_speed",-0.07701308606318,0.0378940504392965,-2.03232658347118,0.0439211644950473
"location_entropy",-0.0599614802997058,0.04065145950888,-1.47501420672504,0.142347304264802
"modal_locationWB_DNCTL",-0.00138256020772865,0.00587146869251705,-0.235470932424567,0.814170961291733
"modal_locationWBC_DNCTL",NA,NA,NA,NA
"modal_locationWBW_DNCTL",0.0535257440449565,0.0358756666529274,1.49197907770695,0.137847600131986
"modal_locationWC_DNCTL",-0.0340749894820074,0.0297260642340305,-1.14630006898115,0.253533537229415
"modal_locationWW_DCTL",NA,NA,NA,NA
"cluster2.avg_speed",0.00931929463108872,0.0123682587312887,0.753484773690347,0.452363786157655
"cluster3.avg_speed",0.012114250791175,0.0150549425745023,0.80466934571323,0.42231001244851
"cluster4.avg_speed",0.0245744467819541,0.0178322645423813,1.3780889535117,0.170269864251888
"cluster2.sd_speed",0.0444899256994311,0.0199454610818328,2.23057895312104,0.0272237502442823
"cluster3.sd_speed",0.061470922873947,0.0252674284502608,2.43281278088719,0.016182851978893
"cluster4.sd_speed",0.038997843441188,0.0203075263698363,1.9203640429153,0.0567482698248392
"cluster2.location_entropy",0.0374257610551237,0.0254416560329279,1.47104264780112,0.143416988733419
"cluster3.location_entropy",0.0386002333321784,0.0218897690196953,1.76339153224723,0.0799121643849537
"cluster4.location_entropy",0.0314480899774627,0.0225894619646566,1.3921575479162,0.165977232746085
"cluster2.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBW_DNCTL",-0.0487601085722718,0.0311006782120253,-1.56781496017081,0.119074434736456
"cluster3.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster3.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster4.modal_locationWW_DCTL",NA,NA,NA,NA
