"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.414476969076058,0.00493784550684361,83.9388288883509,1.52659716015937e-123
"cluster1",-0.00302185136864973,0.014514288889484,-0.208198375522149,0.835370315981402
"cluster2",-0.013676837619962,0.0266604250651529,-0.51300148390502,0.608741871272958
"cluster3",0.00860955506653343,0.0157929768938196,0.545150868288974,0.586499012720203
"cluster4",NA,NA,NA,NA
"avg_speed",0.0297657022229842,0.0167283264592131,1.77935923808988,0.0773050969480958
"sd_speed",-0.0159697319149556,0.0139994806865205,-1.14073745109218,0.25588605064844
"location_entropy",-0.00534135520898039,0.0110507638788097,-0.483347148446692,0.629588514882042
"modal_locationWB_DNCTL",-0.000154117602569881,0.0108625913869127,-0.0141879222996054,0.98869983094077
"modal_locationWBC_DNCTL",-0.051210993834552,0.0224090606609997,-2.2852807000375,0.0237670448649426
"modal_locationWBW_DNCTL",-0.0553566836407502,0.0362044817106564,-1.5290008591521,0.128473265334886
"modal_locationWC_DNCTL",-0.0340514308511763,0.0307141574870464,-1.10865586547628,0.269439767932574
"modal_locationWW_DCTL",NA,NA,NA,NA
"cluster2.avg_speed",-0.00631435787086876,0.00926999467555599,-0.681160895110227,0.496871254037848
"cluster3.avg_speed",0.00313168315894692,0.00904191776123683,0.34635165256342,0.72958754407037
"cluster4.avg_speed",-0.00928251402200119,0.0093411488371764,-0.993722954617546,0.322036282018118
"cluster2.sd_speed",0.0168992372942044,0.00793638047501198,2.12933809655577,0.0349391824547505
"cluster3.sd_speed",0.0148069932357952,0.00969175429612981,1.5277928828332,0.128772880631513
"cluster4.sd_speed",0.021157548355368,0.0128490687617743,1.64662114800967,0.101831864676353
"cluster2.location_entropy",0.00171852335202383,0.0075796740325457,0.226727870439391,0.820959140696311
"cluster3.location_entropy",0.00339505277577842,0.00842586299567586,0.402932349780759,0.687599752065419
"cluster4.location_entropy",0.0131723836940112,0.0075969896272806,1.73389517957344,0.0850918665744397
"cluster2.modal_locationWB_DNCTL",-0.00640347081045393,0.00951922998042948,-0.672687898455944,0.502231427848236
"cluster3.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBC_DNCTL",0.0512750365695643,0.0218395078744241,2.34781098843403,0.0202546543059451
"cluster3.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBW_DNCTL",0.0420542183600677,0.0301979315179697,1.39261917111915,0.165896506940064
"cluster3.modal_locationWBW_DNCTL",0.012949539843864,0.011687877397468,1.10794624237497,0.269745092392388
"cluster4.modal_locationWBW_DNCTL",0.0160671647727331,0.0115638534921564,1.38942998401279,0.166861648050558
"cluster2.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster3.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster4.modal_locationWW_DCTL",NA,NA,NA,NA
