"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",84.9236111111111,5.99192914183027,2.72061811350136,0.451388888888889,0.222222222222222,144,-0.0599922914999378,-0.0280402083608515,-0.0414497123824226,0.28221451372216,0.250262430583074,0.263671934604645,0.0810269591664511
"aliaksandra sasnovich",85.5897435897436,3.8574463104218,2.58983694658855,0.435897435897436,0.282051282051282,39,0.0161488494968898,-0.0261227284468145,-0.00594995724849212,0.265902432554392,0.308174010498097,0.288001239299774,-0.555932106040425
"alison van uytvanck",82.8833333333333,5.08267801648,2.72098450916414,0.5,0.233333333333333,60,-0.0339398881206706,-0.0291440645431979,0.00494629045327505,0.267273221454004,0.262477397876531,0.228387042880058,-0.485283414759653
"alize cornet",81.4901960784314,5.16987675904821,2.7161192114044,0.57843137254902,0.333333333333333,102,0.0816498456081429,0.0952711011959232,0.109061320622762,0.25168348772519,0.23806223213741,0.224272012710571,-0.632631310595701
"amanda anisimova",88.5647058823529,7.22173811492498,2.7238108264041,0.517647058823529,0.305882352941176,85,-0.000502357800981013,0.0227214923244818,0.0184098962475272,0.306384710742158,0.283160860616695,0.287472456693649,0.95887660423115
"anastasia pavlyuchenkova",83.5957446808511,3.73967898220111,2.05265743461211,0.404255319148936,0.25531914893617,47,-0.0335110695028367,0.10822195748594,0.236765972041386,0.288830218439007,0.14709719145023,0.018553176894784,-0.848827612064753
"anastasia potapova",83.9411764705882,6.29064325116033,2.69087626903375,0.529411764705882,0.235294117647059,34,-0.0351833843070469,-0.0240412989136896,-0.0122575321618248,0.270477501954106,0.259335416560748,0.247551649808884,0.0573046605510073
"anastasija sevastova",82.5161290322581,4.52305919883092,2.41184973254386,0.419354838709677,0.32258064516129,31,0.0696471513784059,0.0579930654145892,0.0837826377922489,0.252933493782884,0.264587579746701,0.238798007369041,-0.721055520582346
"anett kontaveit",86.25,4.91845265003011,2.77128991574559,0.5,0.326923076923077,52,0.0489575614918694,0.0373970253727592,-0.0053464426444127,0.277965515431208,0.289526051550318,0.33226951956749,-0.113483229183612
"angelique kerber",78.7916666666667,5.21955577372729,2.71601472347893,0.529761904761905,0.232142857142857,168,-0.00678907845379309,-0.00887042966580087,-0.0125746067081179,0.23893193559665,0.241013286808658,0.244717463850975,-0.958348005691516
"anhelina kalinina",83.4571428571429,7.39372888945465,2.17074373061255,0.4,0.228571428571429,35,-0.0552720006914515,-0.152122776907582,-0.179661081518446,0.28384342926288,0.38069420547901,0.408232510089874,0.368738965752261
"anna blinkova",84.88,5.47965935680921,2.25923653616828,0.44,0.24,25,-0.0523462970029259,-0.0390909680031011,-0.0440721607208252,0.292346297002926,0.279090968003101,0.284072160720825,-0.0976681168232996
"anna kalinskaya",88.3703703703704,4.90798523717412,2.44878889081197,0.518518518518518,0.296296296296296,27,0.0129300317584078,0.00628930139162881,-0.00178590637666209,0.283366264537888,0.290006994904667,0.298082202672958,0.152105418447444
"aryna sabalenka",91.5412371134021,8.1546484099316,2.83545656980101,0.479381443298969,0.335051546391753,194,-0.0209456552025981,0.0405741277651097,0.0298127332299026,0.355997201594351,0.294477418626643,0.30523881316185,1.65201783347943
"ashleigh barty",88,3.98872284195203,2.82385095682574,0.464285714285714,0.241071428571429,112,-0.0475725837588647,-0.105215209494858,-0.104409609522138,0.288644012330293,0.346286638066286,0.345481038093567,-0.205636894128712
"barbora krejcikova",87.2449799196787,6.77461349477794,2.86457528242651,0.534136546184739,0.321285140562249,249,0.0133638153972042,0.016657247113109,0.0223808706285484,0.307921325165045,0.30462789344914,0.298904269933701,0.640231988712488
"beatriz haddad maia",81.9404761904762,7.67463541063504,2.68908809552712,0.452380952380952,0.261904761904762,84,-0.0114145585628766,-0.00420828261685074,-0.0157389484700702,0.273319320467639,0.266113044521613,0.277643710374832,0.271190147402083
"belinda bencic",84.4672897196262,5.87177090224731,2.83492744761739,0.523364485981308,0.308411214953271,107,0.0314819176784463,0.0409365946050155,0.0708054047878657,0.276929297274825,0.267474620348256,0.237605810165405,-0.0175078263163441
"bernarda pera",86.4318181818182,7.56490589951382,2.62740412318611,0.454545454545455,0.295454545454545,44,-0.00667315214645664,0.00562808737832637,-0.00684969262643292,0.302127697601002,0.289826458076219,0.302304238080978,0.804160091379716
"bianca andreescu",87.3965517241379,5.67355315453212,2.96554945797967,0.456896551724138,0.344827586206897,116,0.0434948938791251,0.046665935567534,0.0361290512413814,0.301332692327771,0.298161650639363,0.308698534965515,0.287284744333149
"brenda fruhvirtova",82.8421052631579,4.51140486173188,2.31311057995222,0.447368421052632,0.289473684210526,38,0.0463112258103772,-0.00551485051947448,0.0159938649127358,0.243162458400149,0.294988534730001,0.273479819297791,-0.683620611480777
"camila giorgi",95.9090909090909,8.45711104767623,2.93382622566922,0.515151515151515,0.242424242424242,33,-0.146402132588552,-0.093196601330742,-0.106841571403272,0.388826375012795,0.335620843754984,0.349265813827515,2.30864516515364
"caroline dolehide",86.84375,7.71721734489752,2.18017008523768,0.4375,0.3125,32,0.0450466838823824,-0.0226867861320872,-0.0989190638065338,0.267453316117618,0.335186786132087,0.411419063806534,0.907929326320163
"caroline garcia",86,6.61302826677331,2.63739702839645,0.469026548672566,0.283185840707965,113,-0.00340574035741309,0.0178973584992425,0.0328736017763087,0.286591581065378,0.265288482208722,0.250312238931656,0.427593797092014
"clara burel",82.76,10.588043571249,2.57883007355711,0.44,0.24,25,-0.0928904849679562,-0.104509241304161,-0.126604954004288,0.332890484967956,0.344509241304161,0.366604954004288,1.36001122934699
"coco gauff",87.5040650406504,6.42022161884458,2.74442548858983,0.520325203252033,0.252032520325203,123,-0.0444363752336893,-0.0269881111814132,-0.0244249086069867,0.296468895558893,0.279020631506616,0.27645742893219,0.553323079892142
"dalma galfi",89.4571428571429,6.09408033472241,2.61585745220485,0.4,0.342857142857143,35,0.0363422210388761,0.0552105700026877,0.0595800186906542,0.306514921818267,0.287646572854455,0.283277124166489,0.690972693119352
"danielle collins",89.9565217391304,6.43651713094094,2.91092464273306,0.507246376811594,0.355072463768116,138,0.0340643100165734,0.0475277512727134,0.0447657954865608,0.321008153751543,0.307544712495403,0.310306668281555,0.87010813484302
"daria kasatkina",76.4230769230769,8.63926288156942,2.72067263219673,0.487179487179487,0.256410256410256,78,0.0266011019773693,-0.0625302498561154,-0.0313844229930487,0.229809154432887,0.318940506266372,0.287794679403305,-0.103035084646643
"daria saville",83.32,5.06392469664917,2.51740581142552,0.36,0.16,25,-0.110897044705729,-0.0941677216088322,-0.109334316253662,0.270897044705729,0.254167721608832,0.269334316253662,-0.436198810901163
"dayana yastremska",89.3111111111111,5.16466236783561,2.79944164086142,0.555555555555556,0.244444444444444,45,-0.0537375456355829,-0.0639418841874324,-0.0830746445390913,0.298181990080027,0.308386328631877,0.327519088983536,0.358271609577281
"diana shnaider",79.1935483870968,5.40011947299138,2.09023489883169,0.483870967741935,0.193548387096774,31,-0.0453414373751461,-0.0636967541382168,0.160638371662747,0.23888982447192,0.257245141234991,0.0329100154340267,-0.846304418965324
"diane parry",82.9583333333333,8.73141890280944,2.64827691340249,0.555555555555556,0.375,72,0.0671385319209602,0.113819646277065,0.120104372501373,0.30786146807904,0.261180353722935,0.254895627498627,0.757599882426156
"donna vekic",90.325,5.96905015462491,2.83209559881665,0.5125,0.3375,160,0.0288254028380004,0.0115798740831467,-0.0103983640670776,0.308674597162,0.325920125916853,0.347898364067078,0.758861733705479
"ekaterina alexandrova",92.6315789473684,4.67553178147094,2.56006000061681,0.552631578947368,0.368421052631579,38,0.0713451518945182,0.0647832665419178,0.0408385741083245,0.297075900737061,0.303637786089661,0.327582478523254,0.614382095297346
"elena rybakina",89.7655172413793,6.69102204013126,2.79420325522553,0.482758620689655,0.268965517241379,435,-0.0412768292240708,-0.0235595484495563,-0.0355570269042048,0.31024234646545,0.292525065690936,0.304522544145584,0.931893894787669
