"Feature","Gain","Cover","Frequency"
"avg_speed",0.487561522494428,0.147110573486556,0.205761316872428
"sd_speed",0.103122953834861,0.158904712157035,0.162551440329218
"location_entropy",0.0905736585354071,0.126024083136306,0.187242798353909
"cluster4.modal_locationWC_DNCTL",0.0589599206457037,0.0835761807884753,0.0555555555555556
"cluster3.modal_locationWW_DCTL",0.0383552008657023,0.0214438884917798,0.01440329218107
"cluster2.avg_speed",0.0350998574725304,0.013471160719195,0.0102880658436214
"cluster3.sd_speed",0.0317878186021626,0.0761532963105515,0.0493827160493827
"modal_locationWW_DCTL",0.0219823947715154,0.047918843129708,0.037037037037037
"cluster4.avg_speed",0.0213602081954294,0.0843184692362677,0.0555555555555556
"cluster4.location_entropy",0.0192430129461353,0.0431077143014241,0.0349794238683128
"cluster3.modal_locationWC_DNCTL",0.0182779278920929,0.00714796283059328,0.00617283950617284
"cluster4.sd_speed",0.0148062567573565,0.0517127618628691,0.0411522633744856
"cluster3.avg_speed",0.0146220480100388,0.0526749876285259,0.0329218106995885
"cluster2.sd_speed",0.0105247978502272,0.0204816627261231,0.0185185185185185
"cluster1",0.0103207544275831,0.00588332325287293,0.0185185185185185
"cluster3.modal_locationWB_DNCTL",0.00660176176971636,0.00239181833177544,0.00205761316872428
"cluster2.location_entropy",0.0057044046566462,0.0170451421344917,0.01440329218107
"modal_locationWBC_DNCTL",0.00283717782513483,0.0202067410787925,0.0123456790123457
"cluster3.modal_locationWBW_DNCTL",0.00249065098457417,0.00302413812063562,0.00411522633744856
"cluster3.location_entropy",0.00228278769462781,0.0128663330950679,0.00823045267489712
"modal_locationWC_DNCTL",0.00146629081360637,0.00164952988398306,0.00617283950617284
"modal_locationWB_DNCTL",0.00127624782733061,0.000989717930389839,0.0123456790123457
"modal_locationWBW_DNCTL",0.00074234512719072,0.00189695936658052,0.0102880658436214
