"Variable","Overall"
"avg_speed",100
"cluster2.avg_speed",60.5172266464339
"modal_locationWW_DCTL",47.9268356814524
"cluster4.avg_speed",35.8965774078821
"cluster3.avg_speed",34.9113788405237
"cluster2.modal_locationWBW_DNCTL",27.4545514325671
"cluster2.modal_locationWBC_DNCTL",27.3289764896282
"cluster3.modal_locationWW_DCTL",26.6720456360977
"cluster4.modal_locationWC_DNCTL",25.986922319281
"cluster2",25.9486638045935
"cluster4.modal_locationWBW_DNCTL",25.9126470558671
"cluster4.modal_locationWBC_DNCTL",24.8154553118315
"cluster3.modal_locationWC_DNCTL",24.380956995845
"cluster4",24.3038534665605
"cluster4.modal_locationWW_DCTL",22.2159328752436
"cluster1",22.0140519585037
"cluster2.modal_locationWW_DCTL",21.5812097470508
"cluster3",21.5393334841259
"cluster4.modal_locationWB_DNCTL",21.4118550856603
"modal_locationWC_DNCTL",21.3812061445006
"modal_locationWBW_DNCTL",21.1909514627734
"sd_speed",20.4099175174665
"modal_locationWBC_DNCTL",20.2338477179849
"cluster2.modal_locationWB_DNCTL",19.8808626908602
"cluster2.modal_locationWC_DNCTL",19.6248845767112
"cluster3.modal_locationWBW_DNCTL",19.4723069195126
"cluster3.modal_locationWB_DNCTL",18.8268800710029
"cluster3.sd_speed",18.5342179804905
"modal_locationWB_DNCTL",16.8532653959767
"cluster3.location_entropy",15.8947964113611
"cluster3.modal_locationWBC_DNCTL",15.3751124024618
"cluster4.location_entropy",10.1141452958671
"cluster4.sd_speed",9.34040958097656
"location_entropy",6.51172579191689
"cluster2.sd_speed",4.94961035845336
"cluster2.location_entropy",0
