"ServerName","avg_speed","sd_speed","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"ajla tomljanovic",84.9236111111111,5.99192914183027,2.72061811350136,0.451388888888889,144,-0.0257209005431153,0.0900293027501074,-0.0112022133162375,0.477109789432004,0.361359586138781,0.462591102205126,0.78712928874169
"aliaksandra sasnovich",85.5897435897436,3.8574463104218,2.58983694658855,0.435897435897436,39,-0.0118483785603239,0.182074445639608,0.00226519011499277,0.44774581445776,0.253822990257828,0.433632245782443,8.23523800234692
"alison van uytvanck",82.8833333333333,5.08267801648,2.72098450916414,0.5,60,0.0353908883600837,0.227310035381024,-0.00902080184257703,0.464609111639916,0.272689964618976,0.509020801842577,1.42707797020199
"alize cornet",81.4901960784314,5.16987675904821,2.7161192114044,0.57843137254902,102,0.114910040362791,0.325662002612333,0.0442485887529028,0.463521332186229,0.252769369936687,0.534182783796117,-0.470680520815985
"amanda anisimova",88.5647058823529,7.22173811492498,2.7238108264041,0.517647058823529,85,0.0223072376685031,0.0010614927539212,0.0296251473011468,0.495339821155026,0.516585566069608,0.488021911522383,0.94289537428243
"anastasia pavlyuchenkova",83.5957446808511,3.73967898220111,2.05265743461211,0.404255319148936,47,-0.011136392016243,0.206406181943642,0.075971467167493,0.415391711165179,0.197849137205294,0.328283851981443,5.02661194416538
"anastasia potapova",83.9411764705882,6.29064325116033,2.69087626903375,0.529411764705882,34,0.0518797747957051,0.172219227149223,0.0322739555773093,0.477531989910177,0.357192537556659,0.497137809128573,-1.39312682661476
"anastasija sevastova",82.5161290322581,4.52305919883092,2.41184973254386,0.419354838709677,31,-0.0222699203013113,0.191612822611465,-0.00528477646432457,0.441624759010989,0.227742016098212,0.424639615174002,2.08989529605698
"anett kontaveit",86.25,4.91845265003011,2.77128991574559,0.5,52,0.0302084384732617,0.170937243384601,0.00149609511467363,0.469791561526738,0.329062756615399,0.498503904885326,5.9543424759306
"angelique kerber",78.7916666666667,5.21955577372729,2.71601472347893,0.529761904761905,168,0.0691526418460974,0.317504295345716,0.019322445482417,0.460609262915807,0.212257609416189,0.510439459279488,-3.73298628312338
"anhelina kalinina",83.4571428571429,7.39372888945465,2.17074373061255,0.4,35,-0.061322756043299,0.0135072522522468,-0.0583803651182707,0.461322756043299,0.386492747747753,0.458380365118271,-6.83044322732899
"anna blinkova",84.88,5.47965935680921,2.25923653616828,0.44,25,-0.00697140085925313,0.130227228542125,-0.0241449546376598,0.446971400859253,0.309772771457875,0.46414495463766,1.29644834450309
"anna kalinskaya",88.3703703703704,4.90798523717412,2.44878889081197,0.518518518518518,27,0.0632553054559251,0.163051726892368,0.0312489992040585,0.455263213062593,0.355466791626151,0.48726951931446,7.64040068583084
"aryna sabalenka",91.5412371134021,8.1546484099316,2.83545656980101,0.479381443298969,194,-0.0358607612625854,-0.164216471393811,-0.00852175466431077,0.515242204561554,0.64359791469278,0.48790319796328,1.57267748334105
"ashleigh barty",88,3.98872284195203,2.82385095682574,0.464285714285714,112,-0.000396410939149106,0.150164068614912,-0.0195279778729922,0.464682125224863,0.314121645670802,0.483813692158707,11.1411716811241
"barbora krejcikova",87.2449799196787,6.77461349477794,2.86457528242651,0.534136546184739,249,0.037883749637241,0.0676475408090069,0.0320396163700833,0.496252796547498,0.466489005375732,0.502096929814656,1.23570082113301
"beatriz haddad maia",81.9404761904762,7.67463541063504,2.68908809552712,0.452380952380952,84,-0.0375885693181341,0.0548085223678476,-0.0220626288992035,0.489969521699086,0.397572430013105,0.474443581280156,-8.23444817073027
"belinda bencic",84.4672897196262,5.87177090224731,2.83492744761739,0.523364485981308,107,0.0420783987501449,0.172706759847725,0.02988910364423,0.481286087231163,0.350657726133583,0.493475382337078,0.934844027942846
"bernarda pera",86.4318181818182,7.56490589951382,2.62740412318611,0.454545454545455,44,-0.0366915314378611,-0.0312090453315694,-0.0108315778997292,0.491236985983316,0.485754499877024,0.465377032445184,-2.86633260621034
"bianca andreescu",87.3965517241379,5.67355315453212,2.96554945797967,0.456896551724138,116,-0.0329069882165107,0.0502824046704923,-0.0149209172456439,0.489803539940649,0.406614147053646,0.471817468969782,5.26636391608871
"brenda fruhvirtova",82.8421052631579,4.51140486173188,2.31311057995222,0.447368421052632,38,0.0106968781464918,0.218739500973183,0.0077756826739982,0.43667154290614,0.228628920079448,0.439592738378633,2.26263373889689
"camila giorgi",95.9090909090909,8.45711104767623,2.93382622566922,0.515151515151515,33,-0.0141925330606295,-0.23077674006746,0.0184727998483804,0.529344048212145,0.745928255218975,0.496678715303135,5.83583968407298
"caroline dolehide",86.84375,7.71721734489752,2.18017008523768,0.4375,32,-0.032177449313214,-0.0432688684746628,-0.0255076038264533,0.469677449313214,0.480768868474663,0.463007603826453,-3.97920642417844
"caroline garcia",86,6.61302826677331,2.63739702839645,0.469026548672566,113,-0.0118114256367444,0.0518124121447793,-0.00714334265976008,0.480837974309311,0.417214136527787,0.476169891332326,-0.215964059471518
"clara burel",82.76,10.588043571249,2.57883007355711,0.44,25,-0.0769257785337281,-0.151770252520275,-0.03793310358122,0.516925778533728,0.591770252520275,0.47793310358122,-17.1166382019044
"coco gauff",87.5040650406504,6.42022161884458,2.74442548858983,0.520325203252033,123,0.0339846100593775,0.0767016204062562,0.0138311834446875,0.486340593192655,0.443623582845776,0.506494019807345,2.40373589862956
"dalma galfi",89.4571428571429,6.09408033472241,2.61585745220485,0.4,35,-0.0784539756788509,-0.0594252827765886,-0.0388461864846081,0.478453975678851,0.459425282776589,0.438846186484608,5.40412147394815
"danielle collins",89.9565217391304,6.43651713094094,2.91092464273306,0.507246376811594,138,0.00875391674602061,-0.000558339765673543,0.018276584225407,0.498492460065574,0.507804716577268,0.488969792586187,5.57125112625123
"daria kasatkina",76.4230769230769,8.63926288156942,2.72067263219673,0.487179487179487,78,-0.00793382646649038,0.145419289804654,-0.00255341324281644,0.495113313645978,0.341760197374834,0.489732900422304,-17.6579850382797
