"Feature","Gain","Cover","Frequency"
"avg_speed",0.27939404583354,0.164428385024591,0.25
"sd_speed",0.189413082280912,0.113439726989862,0.158914728682171
"location_entropy",0.127353903927925,0.0983438723276122,0.137596899224806
"cluster2.location_entropy",0.115438883870273,0.0478169226136706,0.0503875968992248
"cluster3.location_entropy",0.0521450293741359,0.109565391950216,0.0813953488372093
"cluster4.sd_speed",0.0457302706984152,0.113760915386932,0.0697674418604651
"cluster1",0.0438310929558934,0.0217203653518017,0.0310077519379845
"cluster4.location_entropy",0.0391912721698378,0.0976211984342066,0.062015503875969
"cluster3.avg_speed",0.0329401012238291,0.0437217705510388,0.0387596899224806
"cluster4.avg_speed",0.0279266061793815,0.0402890695573622,0.0271317829457364
"cluster2.avg_speed",0.0220973650740642,0.0928635953026197,0.0562015503875969
"cluster3.sd_speed",0.0106645676271232,0.026538191307839,0.0174418604651163
"cluster2.sd_speed",0.00755205543702767,0.0116832279433905,0.00775193798449612
"modal_locationWC_DNCTL",0.00436838758693102,0.00230854160393456,0.00193798449612403
"cluster3.modal_locationWBW_DNCTL",0.00125774187314161,0.0134096155776373,0.00775193798449612
"cluster4",0.000695593887568304,0.00248921007728596,0.00193798449612403
