"Variable","Overall"
"avg_speed",100
"cluster1",93.7194042896949
"cluster2",68.6477422033142
"cluster2.sd_speed",67.2892761818376
"cluster2.modal_locationWBC_DNCTL",64.078852330677
"cluster3.modal_locationWC_DNCTL",62.9506164470891
"cluster2.avg_speed",59.7370439931668
"cluster2.modal_locationWC_DNCTL",55.6802055971184
"cluster2.modal_locationWW_DCTL",55.4254383026618
"cluster2.modal_locationWBW_DNCTL",55.1202709365215
"cluster3.location_entropy",55.0976611169045
"cluster3.modal_locationWW_DCTL",53.2674772723514
"cluster4.avg_speed",48.5660324850918
"cluster2.location_entropy",47.7590107067893
"cluster3.avg_speed",42.6000805195362
"cluster3.modal_locationWBC_DNCTL",42.0848952399469
"cluster3",38.9189264779095
"modal_locationWW_DCTL",36.799788379489
"cluster3.modal_locationWBW_DNCTL",36.1677735994033
"location_entropy",34.6044975627143
"modal_locationWC_DNCTL",30.2255843218906
"sd_speed",25.9081639551148
"cluster4",21.9374134479512
"cluster4.modal_locationWBW_DNCTL",19.7862407993731
"cluster4.sd_speed",18.7125973582569
"cluster4.modal_locationWBC_DNCTL",15.8395760340781
"cluster4.modal_locationWW_DCTL",12.9615954744376
"modal_locationWBW_DNCTL",12.5472013340311
"cluster4.modal_locationWC_DNCTL",7.13534205117044
"cluster3.sd_speed",2.06238027326038
"cluster4.location_entropy",0.723305101021328
"modal_locationWBC_DNCTL",0
