"Feature","Gain","Cover","Frequency"
"avg_speed",0.258423821710738,0.134017121305849,0.239208633093525
"sd_speed",0.163641543154412,0.167601221239998,0.194244604316547
"location_entropy",0.0967299217140259,0.120128509568375,0.158273381294964
"cluster2.avg_speed",0.0914919726808576,0.0642547841877357,0.0449640287769784
"cluster2.modal_locationWBW_DNCTL",0.0799660629791759,0.0117334823299343,0.0107913669064748
"cluster2.sd_speed",0.0634371847054342,0.0717977371141221,0.0449640287769784
"cluster3.sd_speed",0.0543898171934486,0.0809171272923194,0.0503597122302158
"cluster4.location_entropy",0.0394983797045335,0.0873426057110929,0.0503597122302158
"cluster3.location_entropy",0.0334125449189545,0.0717179175064355,0.0413669064748201
"cluster3.avg_speed",0.0275197724947164,0.0182587352583162,0.0143884892086331
"cluster4.avg_speed",0.0257230022246883,0.0775846586714026,0.0449640287769784
"modal_locationWW_DCTL",0.0179872141170878,0.0172011254564684,0.0251798561151079
"cluster4.sd_speed",0.0150513702309656,0.0217907528984495,0.0143884892086331
"cluster1",0.00699028686922193,0.00345219803244667,0.0107913669064748
"cluster2.location_entropy",0.00533607866112765,0.033284776405324,0.0197841726618705
"cluster2",0.00491434940750855,0.00183585097679245,0.0143884892086331
"cluster3",0.00411215806939533,0.00087801568455291,0.00179856115107914
"cluster2.modal_locationWW_DCTL",0.00405140056994893,0.00504859018617923,0.00359712230215827
"modal_locationWBW_DNCTL",0.00211608062947545,0.000578692155728055,0.00179856115107914
"cluster3.modal_locationWC_DNCTL",0.00200789824870671,0.00670484704567677,0.00359712230215827
"modal_locationWBC_DNCTL",0.00161357810295548,0.000698421567257997,0.00899280575539568
"cluster2.modal_locationWBC_DNCTL",0.00158556161262193,0.00317282940554347,0.00179856115107914
