"Variable","Overall"
"avg_speed",100
"sd_speed",90.6813413739339
"cluster3.sd_speed",83.6419696102245
"cluster4.modal_locationWBC_DNCTL",80.2632900259053
"modal_locationWC_DNCTL",71.9513835071902
"modal_locationWBW_DNCTL",69.1756188092037
"cluster2.modal_locationWB_DNCTL",69.0114661092897
"cluster4.modal_locationWC_DNCTL",67.6337623684876
"cluster3.modal_locationWC_DNCTL",62.0689778201877
"location_entropy",61.1813874522373
"cluster2.sd_speed",55.53177681836
"cluster4.avg_speed",55.4873114444691
"cluster2.modal_locationWBW_DNCTL",54.7660412281617
"cluster3.location_entropy",52.4130000799667
"cluster4.modal_locationWBW_DNCTL",52.3694926680661
"cluster3.modal_locationWBW_DNCTL",51.4594824900157
"cluster1",48.7281199057362
"cluster2.modal_locationWC_DNCTL",47.8806145430615
"cluster2.avg_speed",47.6335510844399
"modal_locationWBC_DNCTL",46.1572003394218
"cluster3.modal_locationWB_DNCTL",45.9239172858289
"cluster4.modal_locationWB_DNCTL",40.8824096703323
"modal_locationWB_DNCTL",40.4895747730122
"cluster3",40.1402584941861
"cluster3.avg_speed",37.5491503518504
"cluster2",36.3107999575189
"cluster4",33.8659446670228
"cluster4.location_entropy",33.4616318777441
"cluster2.modal_locationWBC_DNCTL",28.8461600222121
"cluster3.modal_locationWBC_DNCTL",18.2812952013456
"cluster2.location_entropy",8.80466306792908
"cluster4.sd_speed",0
