"Feature","Gain","Cover","Frequency"
"avg_speed",0.288849459153297,0.20056998226279,0.230636833046472
"sd_speed",0.185274502935553,0.209558164099089,0.227194492254733
"location_entropy",0.153903564710151,0.173585507304143,0.21170395869191
"cluster3.avg_speed",0.0720161821174839,0.0625186838591387,0.0499139414802065
"cluster2.avg_speed",0.0637858588811351,0.0510991091535963,0.036144578313253
"cluster2.sd_speed",0.0495914103727446,0.0337006995236862,0.0258175559380379
"cluster2.location_entropy",0.0480778909996394,0.0431671881539351,0.044750430292599
"cluster3.location_entropy",0.0354910413314047,0.0407158658349443,0.036144578313253
"cluster4.avg_speed",0.0298073545590113,0.0462562528648584,0.0292598967297762
"cluster4.location_entropy",0.0264814926049379,0.0581541343643502,0.036144578313253
"modal_locationWBC_DNCTL",0.0161659406219373,0.0039659604998306,0.00860585197934595
"cluster3.sd_speed",0.010802784660705,0.0575163919724176,0.0327022375215146
"modal_locationWC_DNCTL",0.00770719307252212,0.00460370289176316,0.00344234079173838
"cluster4.modal_locationWBW_DNCTL",0.0071036747253803,0.00498236243697312,0.00860585197934595
"cluster1",0.00221831329075619,0.00161428542957929,0.0103270223752151
"cluster4.modal_locationWC_DNCTL",0.00155886902054609,0.00725431970823286,0.00516351118760757
"cluster3",0.000822647804841842,0.000458377344201527,0.00172117039586919
"modal_locationWW_DCTL",0.000341819137952922,0.000279012296470494,0.00172117039586919
