"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.529899174131704,0.00367929889928106,144.021779321937,2.14237987529314e-94
"cluster1",-0.00257352247986324,0.0144767436238169,-0.177769431215824,0.859377022364867
"cluster2",-0.0107704836666493,0.0155662706582118,-0.691911627591251,0.491101307811076
"cluster3",-0.00654479172879634,0.0134119284216274,-0.487982900225035,0.626966844668821
"cluster4",NA,NA,NA,NA
"avg_speed",0.00854745432450336,0.0115625202382152,0.739237999018001,0.462039635361315
"sd_speed",0.00191635614140236,0.0140077762163374,0.136806593124132,0.891545437251189
"location_entropy",0.024365541864079,0.0160823173524075,1.51505167633267,0.133907506898964
"modal_locationWB_DNCTL",0.00713193169480075,0.0129651040645895,0.550086729676129,0.58387299273828
"modal_locationWBC_DNCTL",0.00395864146881998,0.013409571677298,0.295210135273884,0.768638344229915
"modal_locationWBW_DNCTL",0.00566719937772134,0.021463303243955,0.264041341321377,0.792462730757615
"modal_locationWC_DNCTL",0.0115706995316242,0.0193983467646287,0.596478641815105,0.552628130639697
"modal_locationWW_DCTL",NA,NA,NA,NA
"cluster2.avg_speed",-0.00429311342015491,0.00968751940549482,-0.443159207270319,0.6589095107705
"cluster3.avg_speed",-0.00858160261546138,0.00664547670255765,-1.29134492521185,0.200497936786706
"cluster4.avg_speed",0.00690834885009997,0.00868282441978391,0.795633830203824,0.428722939526324
"cluster2.sd_speed",-0.00743201066507785,0.00899511973979848,-0.82622698530574,0.411261665948758
"cluster3.sd_speed",-0.00179220452389976,0.00826010900064296,-0.216971050110871,0.828812303537336
"cluster4.sd_speed",-0.00694749787584421,0.00729491065592603,-0.952376006168136,0.343925489662589
"cluster2.location_entropy",-0.0103972461508641,0.0142535298330348,-0.729450618384142,0.467968290593488
"cluster3.location_entropy",-0.00721969058634565,0.0100182466721416,-0.720654104716939,0.473333208378301
"cluster4.location_entropy",0.00041796395873762,0.00680037756264736,0.0614618754454728,0.951152723036272
"cluster2.modal_locationWB_DNCTL",-0.00279264601082418,0.00840599653932348,-0.332220694805203,0.740637160818579
"cluster3.modal_locationWB_DNCTL",-0.0102067742708313,0.00569085858381534,-1.7935385531911,0.0768647541145269
"cluster4.modal_locationWB_DNCTL",-0.00845090513004095,0.00527130076394071,-1.60319160459424,0.113040574514118
"cluster2.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWBC_DNCTL",0.00446251856866283,0.00488357220480076,0.913781629823347,0.363721501869111
"cluster4.modal_locationWBC_DNCTL",0.000204883060538083,0.00500777003044151,0.0409130330052356,0.967472518393988
"cluster2.modal_locationWBW_DNCTL",-0.000299166398021315,0.00688254377333449,-0.0434674166810818,0.965442939646773
"cluster3.modal_locationWBW_DNCTL",0.000437287377528032,0.00862702217936153,0.050688101692164,0.959707042479004
"cluster4.modal_locationWBW_DNCTL",-0.00168944397629026,0.00601578451512938,-0.280835188168958,0.779599928644663
"cluster2.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster3.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster4.modal_locationWW_DCTL",NA,NA,NA,NA
