"Variable","Overall"
"cluster4.location_entropy",100
"avg_speed",99.8035912408092
"cluster3.modal_locationWW_DCTL",95.9014280756543
"cluster1",92.0748728995837
"cluster2.avg_speed",91.4267877704048
"cluster3.location_entropy",86.9650493998865
"modal_locationWW_DCTL",84.6588619395237
"cluster3.modal_locationWB_DNCTL",84.4757203760886
"cluster3.modal_locationWBW_DNCTL",81.7490518650941
"cluster3.modal_locationWBC_DNCTL",79.3997762624569
"cluster3.modal_locationWC_DNCTL",75.0324106093075
"cluster2",73.1997062736694
"sd_speed",72.9436081127734
"cluster2.modal_locationWB_DNCTL",72.3991556568316
"cluster3.avg_speed",67.8888761194609
"cluster2.modal_locationWBC_DNCTL",64.394573197639
"cluster2.modal_locationWW_DCTL",60.6565821591533
"cluster4.modal_locationWBC_DNCTL",58.7492710179862
"cluster2.modal_locationWBW_DNCTL",56.9630523091739
"cluster3",56.5168041678989
"cluster4.modal_locationWB_DNCTL",55.140107210484
"location_entropy",52.9178890978039
"cluster4",51.3955256599368
"cluster4.modal_locationWW_DCTL",45.7757532134017
"cluster4.modal_locationWBW_DNCTL",45.4224645846172
"cluster4.sd_speed",43.1903808681472
"cluster2.sd_speed",38.0597631731389
"cluster2.location_entropy",32.6464860269023
"modal_locationWC_DNCTL",18.9120521907726
"cluster4.avg_speed",17.9352164564409
"cluster4.modal_locationWC_DNCTL",16.4227018694335
"cluster2.modal_locationWC_DNCTL",14.6805217926473
"cluster3.sd_speed",13.0853053013466
"modal_locationWB_DNCTL",11.0264836430061
"modal_locationWBW_DNCTL",9.68947325721468
"modal_locationWBC_DNCTL",0
