"Feature","Gain","Cover","Frequency"
"avg_speed",0.247089885290767,0.189377682403433,0.259856630824373
"sd_speed",0.244828254258206,0.174570815450644,0.234767025089606
"location_entropy",0.221221688341234,0.194179184549356,0.197132616487455
"cluster3.location_entropy",0.100996276735407,0.136131974248927,0.0842293906810036
"cluster4.location_entropy",0.0494918495449087,0.0733637339055794,0.0448028673835125
"cluster3.avg_speed",0.0422250295383589,0.0525214592274678,0.0340501792114695
"cluster2.location_entropy",0.0229558926237513,0.0335032188841202,0.0197132616487455
"cluster3.sd_speed",0.0191854341854782,0.016255364806867,0.014336917562724
"modal_locationWW_DCTL",0.0114951439302076,0.0133315450643777,0.0125448028673835
"cluster4.avg_speed",0.00897176605344782,0.032725321888412,0.017921146953405
"cluster3.modal_locationWW_DCTL",0.00756820134613062,0.0065450643776824,0.003584229390681
"cluster4.sd_speed",0.00754565352915228,0.0326448497854077,0.0197132616487455
"cluster2.avg_speed",0.00718182603312025,0.0273605150214592,0.017921146953405
"cluster2.sd_speed",0.00240967940265891,0.00697424892703863,0.014336917562724
"cluster1",0.00214713041454079,0.000536480686695279,0.003584229390681
"cluster2",0.0020654868269567,0.00844957081545064,0.00537634408602151
"cluster4",0.000970173474595878,0.000375536480686695,0.003584229390681
"modal_locationWC_DNCTL",0.000738235043651606,0.000482832618025751,0.003584229390681
"modal_locationWBW_DNCTL",0.000465757534853045,0.000187768240343348,0.0017921146953405
"cluster4.modal_locationWC_DNCTL",0.00035505407706529,0.000321888412017167,0.0017921146953405
"cluster3",9.15818155082975e-05,0.000160944206008584,0.00537634408602151
