"Variable","Overall"
"cluster3.location_entropy",100
"sd_speed",97.1526700720396
"cluster2.avg_speed",91.8008490103609
"cluster4.modal_locationWW_DCTL",88.0983422516756
"cluster4.modal_locationWC_DNCTL",84.0275726201492
"cluster3.modal_locationWB_DNCTL",80.5366938473915
"avg_speed",80.4877125030154
"cluster3.modal_locationWBC_DNCTL",77.522228720096
"cluster4.modal_locationWBW_DNCTL",74.986086137675
"cluster3.sd_speed",74.2339815433304
"cluster1",73.8838739603375
"cluster4",73.417371930081
"location_entropy",69.5517303106785
"cluster4.location_entropy",69.052323521149
"cluster4.modal_locationWBC_DNCTL",68.1057562326813
"cluster4.modal_locationWB_DNCTL",66.6118289709954
"cluster3",64.05814902026
"cluster3.modal_locationWBW_DNCTL",60.8580485505773
"cluster4.avg_speed",60.7812639427261
"cluster2.modal_locationWBC_DNCTL",58.0198513717323
"cluster3.modal_locationWW_DCTL",57.1819040821484
"cluster2.modal_locationWBW_DNCTL",55.4884486110204
"cluster3.avg_speed",54.1501491810827
"modal_locationWW_DCTL",52.7619520393358
"cluster2",51.8852613255083
"modal_locationWC_DNCTL",50.9056241081341
"cluster2.modal_locationWB_DNCTL",50.6416725560373
"cluster4.sd_speed",49.7482549946641
"cluster2.modal_locationWW_DCTL",47.6741103715158
"cluster3.modal_locationWC_DNCTL",45.3028665677558
"modal_locationWBW_DNCTL",44.2260044604301
"cluster2.modal_locationWC_DNCTL",36.8551908611194
"cluster2.location_entropy",36.4669902748178
"cluster2.sd_speed",31.0991632577854
"modal_locationWB_DNCTL",18.927828856441
"modal_locationWBC_DNCTL",0
