"Estimate","Std. Error","z value","Pr(>|z|)","term","model","serve_type","n_servers","correlation"
0.450034269542562,0.0178041678894286,25.2769055165883,5.73323704078946e-141,"(Intercept)","win_sqs_first","first",80,NA
0.0518868721444977,0.0204872632955203,2.53264047013263,0.0113207000640692,"SQS_z","win_sqs_first","first",80,0.263051654097583
0.381628592015866,0.0204456342295324,18.665529654474,9.44342595628743e-78,"(Intercept)","win_welo_first","first",80,NA
0.101950181333534,0.0147706444657931,6.90221618763061,5.11974394097845e-12,"welo_z","win_welo_first","first",80,0.534321115704618
-0.216817492944461,0.017483787458168,-12.4010597511107,2.57890123093378e-35,"(Intercept)","eff_sqs_first","first",80,NA
0.0884398673798723,0.020112106536103,4.39734481423489,1.09583181864365e-05,"SQS_z","eff_sqs_first","first",80,0.296821404040232
-0.249005193371652,0.0202819560752722,-12.277178416496,1.20114699342747e-34,"(Intercept)","eff_welo_first","first",80,NA
0.0523420715022393,0.0143347693346376,3.65140661006405,0.000260807939103623,"welo_z","eff_welo_first","first",80,0.246884686381456
-0.0535871450708657,0.0223052512742892,-2.40244525434396,0.0162858720521477,"(Intercept)","win_sqs_second","second",78,NA
-0.0945040866904438,0.0235333854300593,-4.01574550212114,5.92581758374371e-05,"SQS_z","win_sqs_second","second",78,-0.358012042191227
-0.100901334895133,0.0251665713792607,-4.00933974575032,6.08887588196194e-05,"(Intercept)","win_welo_second","second",78,NA
0.0948214740619133,0.0178886624081367,5.3006464037682,1.15393387917772e-07,"welo_z","win_welo_second","second",78,0.383634482997292
-1.07231306122829,0.0255557456376546,-41.9597642124093,0,"(Intercept)","eff_sqs_second","second",78,NA
-0.00742148506448524,0.0269263610217978,-0.275621538999544,0.782838764510587,"SQS_z","eff_sqs_second","second",78,-0.15762549267113
-1.05976266241232,0.028694700149054,-36.9323483746967,1.39873535153222e-298,"(Intercept)","eff_welo_second","second",78,NA
-0.0157493521305218,0.0204997122632531,-0.768271862954556,0.442325687285459,"welo_z","eff_welo_second","second",78,-0.073181508023705
