"","ServerName","SQS_logodds_1st","MeasuredSkill_1st","UnmeasuredCraft_1st","n_serves_1","SQS_logodds_2nd","MeasuredSkill_2nd","UnmeasuredCraft_2nd","n_serves_2","w1","w2","SQS_logodds_combined","SQS_prob_combined"
"1","Linda Noskova",-0.0161516766637207,-0.0423652617154256,0.0262135850517049,35,NA,NA,NA,NA,35,0,-0.0161516766637207,0.495962168615018
"2","Jessica Bouzas Maneiro",-0.153207465684754,-0.110130001759821,-0.0430774639249324,21,NA,NA,NA,NA,21,0,-0.153207465684754,0.461772878273561
"3","Eugenie Bouchard",-0.175808514100008,-0.163470910122346,-0.0123376039776618,28,NA,NA,NA,NA,28,0,-0.175808514100008,0.456160731007588
"4","Jaqueline Cristian",-0.188038036290831,-0.207501230287588,0.0194631939967573,26,NA,NA,NA,NA,26,0,-0.188038036290831,0.453128517614716
"5","Clara Tauson",-0.200175692238929,-0.22088711614499,0.0207114239060611,26,NA,NA,NA,NA,26,0,-0.200175692238929,0.450122516327545
"6","Kirsten Flipkens",-0.264402325460808,-0.279918871625464,0.0155165461646564,30,NA,NA,NA,NA,30,0,-0.264402325460808,0.43428182868424
"7","Aryna Sabalenka",-0.0511643733887983,-0.159512934108726,0.108348560719928,335,-0.742376237269352,-0.74249243992845,0.000116202659097768,155,335,155,-0.269813024208157,0.432952997894558
"8","Serena Williams",-0.0246576000838979,-0.128916037786034,0.104258437702136,329,-0.772033632980692,-0.762628299493862,-0.00940533348683014,181,329,181,-0.289902819602172,0.428027658605312
"9","Natalia Vikhlyantseva",-0.298199877216722,-0.3315806077384,0.0333807305216777,35,NA,NA,NA,NA,35,0,-0.298199877216722,0.42599759702368
"10","Elena Rybakina",0.0433519528713728,-0.126886740650071,0.170238693521444,539,-0.865822345320063,-0.812444828361798,-0.0533775169582656,354,539,354,-0.317059806993989,0.421392462059519
"11","Jodie Burrage",-0.329683820646689,-0.23895679604857,-0.0907270245981196,59,NA,NA,NA,NA,59,0,-0.329683820646689,0.418317556453478
"12","Robin Montgomery",-0.330366522223969,-0.329512839892931,-0.000853682331037694,36,NA,NA,NA,NA,36,0,-0.330366522223969,0.418151445328412
"13","Johanna Konta",-0.15362109831295,-0.306662889198246,0.153041790885295,250,-0.706182442800808,-0.706378479145521,0.000196036344713105,124,250,124,-0.336823255308924,0.416581352120974
"14","Donna Vekic",-0.073165410135474,-0.226985687762595,0.153820277627121,308,-0.777344993546336,-0.819062059036525,0.0417170654901888,199,308,199,-0.349559368910151,0.413489277050703
"15","Ashlyn Krueger",-0.367004952205233,-0.28345070466778,-0.0835542475374532,25,NA,NA,NA,NA,25,0,-0.367004952205233,0.409264928459977
"16","Anna Kalinskaya",-0.398693807294076,-0.416378593073152,0.0176847857790759,57,NA,NA,NA,NA,57,0,-0.398693807294076,0.40162620713562
"17","Julia Goerges",-0.160017148087875,-0.0898020303157342,-0.0702151177721409,203,-0.756055920183063,-0.791930566178484,0.0358746459954216,139,203,139,-0.402266824465744,0.400767832994437
"18","Elisabetta Cocciaretto",-0.408184855291918,-0.402015319026528,-0.00616953626538915,21,NA,NA,NA,NA,21,0,-0.408184855291918,0.399347438558365
"19","Petra Kvitova",-0.250215331283698,-0.437330461203242,0.187115129919544,357,-0.708556145056906,-0.750430783904587,0.0418746388476817,202,357,202,-0.415841170965609,0.397512348436009
"20","Qinwen Zheng",-0.0827735971138709,-0.167136544386672,0.0843629472728013,62,-0.840769983418826,-0.840233456921317,-0.000536526497509147,50,62,50,-0.421164841000012,0.396238047541523
"21","Naomi Osaka",-0.126753987070963,-0.235722343816109,0.108968356745146,184,-0.97112192458458,-0.974527813183923,0.00340588859934255,104,184,104,-0.431664631173102,0.393728903149552
"22","Ashleigh Barty",-0.118072621912298,-0.280980105737005,0.162907483824707,329,-0.955490601210752,-0.859068747673761,-0.0964218535369911,210,329,210,-0.444339367093514,0.39070747207299
"23","Barbora Krejcikova",-0.255407281309408,-0.4500633870958,0.194656105786392,373,-0.798172978542666,-0.831755668728024,0.0335826901853577,202,373,202,-0.446083230598309,0.390292415607707
"24","Nina Stojanovic",-0.463801608545515,-0.379392939814857,-0.0844086687306583,37,NA,NA,NA,NA,37,0,-0.463801608545515,0.386084365028721
"25","Katie Volynets",-0.46566015301816,-0.474831377523353,0.00917122450519338,40,NA,NA,NA,NA,40,0,-0.46566015301816,0.385643940190553
"26","Coco Gauff",-0.249266984210411,-0.202843532197401,-0.0464234520130099,187,-0.906196649046654,-0.871095628679769,-0.0351010203668848,99,187,99,-0.476665714346033,0.383039776740262
"27","Dalma Galfi",-0.280659288120949,-0.256277122029416,-0.0243821660915333,57,-0.877373030139283,-0.883437570539466,0.00606454040018332,28,57,28,-0.477223814903459,0.382907894857742
"28","Caroline Garcia",-0.24683499923537,-0.330871584601582,0.0840365853662123,216,-0.942785083245357,-0.942814961435864,2.98781905071243e-05,107,216,107,-0.477381931090072,0.3828705343645
"29","Varvara Gracheva",-0.483468268098275,-0.473927067529496,-0.00954120056877919,54,NA,NA,NA,NA,54,0,-0.483468268098275,0.381433479364503
"30","Svetlana Kuznetsova",-0.487889719563484,-0.522463066071732,0.0345733465082479,39,NA,NA,NA,NA,39,0,-0.487889719563484,0.38039082164794
"31","Kateryna Kozlova",-0.488920060869235,-0.484703778207545,-0.00421628266168982,27,NA,NA,NA,NA,27,0,-0.488920060869235,0.380148006696134
"32","Jelena Ostapenko",-0.267740836914747,-0.422037846256657,0.15429700934191,303,-0.853558722132089,-0.919571010575134,0.0660122884430454,186,303,186,-0.490567271782693,0.379759942029486
"33","Camila Giorgi",-0.366673938564861,-0.367452313801557,0.000778375236696089,166,-0.71116027863215,-0.654284038518931,-0.0568762401132186,98,166,98,-0.49455144358984,0.378821951516791
"34","Ekaterina Alexandrova",-0.232664929539142,-0.222757351097627,-0.00990757844151505,67,-0.806225124317214,-0.801568730231469,-0.00465639408574446,57,67,57,-0.496317599719385,0.37840643596833
"35","Madison Keys",-0.284520409603538,-0.369598817245532,0.0850784076419943,500,-0.982679301813228,-1.03946210699812,0.0567828051848902,223,500,223,-0.499858491156457,0.377573924477922
"36","Liudmila Samsonova",-0.200478085235268,-0.213197020740189,0.0127189355049214,76,-0.827710355096443,-0.841085515464194,0.0133751603677503,70,76,70,-0.50120588585364,0.377257323022615
"37","Shelby Rogers",-0.350314191891647,-0.360779308522365,0.010465116630718,71,-0.810909504117189,-0.820529751104967,0.00962024698777831,35,71,35,-0.502397549701968,0.376977401364444
"38","Kristina Mladenovic",-0.349527288714542,-0.249193954555226,-0.100333334159316,95,-0.764332947583798,-0.805049637156143,0.0407166895723447,56,95,56,-0.503362499950822,0.376750794817654
"39","Petra Martic",-0.331146354459977,-0.28568922046265,-0.0454571339973267,203,-0.815505452472167,-0.81399832958793,-0.0015071228842368,118,203,118,-0.509197362451997,0.375381701349828
"40","Elina Avanesyan",-0.511961404539804,-0.470169309407302,-0.0417920951325018,31,NA,NA,NA,NA,31,0,-0.511961404539804,0.37473383919729
"41","Barbora Strycova",-0.315926654514731,-0.398542150507653,0.0826154959929219,232,-0.933784780306038,-0.912246450568646,-0.0215383297373915,109,232,109,-0.513423826688491,0.374391244241371
"42","Bianca Andreescu",-0.401029923724279,-0.432560477209183,0.0315305534849041,212,-0.803562594169056,-0.835567435023406,0.0320048408543503,87,212,87,-0.518154814455702,0.37328380090832
"43","Kiki Bertens",-0.342613092227186,-0.267618511183788,-0.0749945810433977,204,-0.794322840138821,-0.840572001131173,0.0462491609923516,132,204,132,-0.520070493192471,0.372835750168473
"44","Monica Puig",-0.520164775998519,-0.535920183436644,0.0157554074381249,51,NA,NA,NA,NA,51,0,-0.520164775998519,0.372813704354643
"45","Agnieszka Radwanska",-0.522312977475164,-0.565997281167035,0.0436843036918706,41,NA,NA,NA,NA,41,0,-0.522312977475164,0.372311541447563
"46","Mandy Minella",-0.524965352932467,-0.520297068723815,-0.00466828420865201,25,NA,NA,NA,NA,25,0,-0.524965352932467,0.371691903041991
"47","Ekaterina Makarova",-0.383469273814909,-0.43636913320948,0.0528998593945712,130,-0.965945683836927,-0.982716872500875,0.0167711886639481,43,130,43,-0.528246647404196,0.370925922446961
"48","Anett Kontaveit",-0.324325157544805,-0.396250514892131,0.071925357347326,168,-0.865832385960151,-0.879868834521943,0.0140364485617926,102,168,102,-0.528894554946158,0.370774752424592
"49","Veronika Kudermetova",-0.215850907862269,-0.291658535689363,0.0758076278270938,79,-1.01453741113369,-0.992360716613168,-0.0221766945205263,52,79,52,-0.53288677175627,0.369843846394078
"50","Belinda Bencic",-0.370104908629178,-0.440549190319631,0.0704442816904529,398,-0.902425346924308,-0.912816778862617,0.0103914319383091,186,398,186,-0.539645322195777,0.368270093217267
"51","Lulu Sun",-0.339776480477098,-0.294822922341616,-0.0449535581354821,127,-0.842041441715924,-0.908511180854782,0.0664697391388582,88,127,88,-0.545354697170199,0.366942824772908
"52","Dayana Yastremska",-0.421303642375761,-0.426492223158129,0.00518858078236793,191,-0.771776167952869,-0.791272286007569,0.0194961180547005,106,191,106,-0.546388112783752,0.366702799704117
"53","Lucie Safarova",-0.297511332057857,-0.298380000494576,0.000868668436718442,82,-1.12149412112977,-1.11487719063741,-0.00661693049236359,36,82,36,-0.548895911774713,0.366120603812054
"54","Andrea Petkovic",-0.550283897354158,-0.59432617397899,0.0440422766248312,28,NA,NA,NA,NA,28,0,-0.550283897354158,0.36579854514173
"55","Vera Zvonareva",-0.551978322367298,-0.513872240073433,-0.0381060822938647,64,NA,NA,NA,NA,64,0,-0.551978322367298,0.36540554499461
"56","Cristina Bucsa",-0.55539959009355,-0.515792681009316,-0.0396069090842339,26,NA,NA,NA,NA,26,0,-0.55539959009355,0.36461257253533
"57","Polona Hercog",-0.284370735522698,-0.240152925809383,-0.0442178097133158,67,-0.925649269713497,-0.963247903753414,0.0375986340399169,50,67,50,-0.558421391159792,0.363912797963501
"58","Maria Sakkari",-0.370015207341563,-0.350146215860331,-0.0198689914812315,216,-0.878742390883226,-0.879464488840982,0.000722097957755339,136,216,136,-0.566568891891751,0.362028911485397
"59","Karolina Muchova",-0.34515282001921,-0.399226064396784,0.0540732443775743,262,-0.999313768084687,-0.949866096917225,-0.0494476711674621,135,262,135,-0.567600497572962,0.361790681661577
"60","Cori Gauff",-0.469633113623351,-0.351491736894738,-0.118141376728613,144,-0.812968163812499,-0.822796552248884,0.00982838843638446,61,144,61,-0.571796226118658,0.360822458440636
"61","Victoria Azarenka",-0.415801301800429,-0.420336369580423,0.00453506777999481,276,-0.939937559454066,-0.964693750947127,0.0247561914930605,124,276,124,-0.578283541673056,0.359327646263267
"62","Renata Zarazua",-0.580022133555,-0.456789467851123,-0.123232665703878,41,NA,NA,NA,NA,41,0,-0.580022133555,0.35892750075037
"63","Clara Burel",-0.350445167725598,-0.385397559919995,0.0349523921943968,31,-0.905227009540857,-0.894786785360885,-0.0104402241799723,22,31,22,-0.580731969988535,0.358764184777366
"64","Kaja Juvan",-0.321396723056789,-0.308355478022319,-0.0130412450344701,109,-0.971198829999558,-0.994269337953011,0.0230705079534529,73,109,73,-0.582031634083284,0.358465248789846
"65","Magdalena Rybarikova",-0.347082306741316,-0.357289896623902,0.0102075898825858,54,-1.01570020341279,-1.0059922071439,-0.00970799626889483,31,54,31,-0.590931186703856,0.356421225370918
"66","Ons Jabeur",-0.241045615612287,-0.344293451204785,0.103247835592498,533,-1.10839919834707,-0.998343932625939,-0.110055265721131,367,533,367,-0.594733132127471,0.355549592460598
"67","Katie Boulter",-0.439656617122218,-0.346769244490673,-0.0928873726315444,316,-0.883380431271133,-0.866310224485694,-0.017070206785439,175,316,175,-0.597806652715008,0.35484565723033
"68","Caty Mcnally",-0.59831031510828,-0.487645805886788,-0.110664509221492,59,NA,NA,NA,NA,59,0,-0.59831031510828,0.354730362120979
"69","Diane Parry",-0.418949487941064,-0.402319441367696,-0.0166300465733682,111,-0.920148128245664,-0.961850074286592,0.0417019460409276,62,111,62,-0.598569809899938,0.354670966850457
"70","Kurumi Nara",-0.598710342461496,-0.538547640014828,-0.0601627024466682,36,NA,NA,NA,NA,36,0,-0.598710342461496,0.354638802488912
"71","Luksika Kumkhum",-0.599399552073693,-0.591888694915912,-0.00751085715778089,38,NA,NA,NA,NA,38,0,-0.599399552073693,0.354481078808392
"72","Amanda Anisimova",-0.516986954755734,-0.517557172486387,0.000570217730652936,198,-0.809469371218342,-0.810467650937473,0.00099827971913073,84,198,84,-0.604109376680766,0.353404096875742
"73","Iga Swiatek",-0.397105149380555,-0.417501702791784,0.0203965534112284,360,-1.01670081963806,-1.04680535995915,0.0301045403210949,185,360,185,-0.607426615431267,0.352646444975182
"74","Magda Linette",-0.359987348513299,-0.386014828905802,0.0260274803925029,125,-0.967079813642174,-0.975168699526505,0.00808888588433092,87,125,87,-0.609124350712413,0.352258971226541
"75","Venus Williams",-0.354825922916485,-0.389452712452986,0.0346267895365007,150,-1.01080413492615,-1.00808258661934,-0.00272154830680321,95,150,95,-0.609184821450844,0.352245173584902
"76","Harmony Tan",-0.292471077566907,-0.387026628417693,0.0945555508507864,54,-1.14468459173881,-1.12336831895316,-0.0213162727856427,32,54,32,-0.609573780514591,0.352156430475618
"77","Beatriz Haddad Maia",-0.462818089099056,-0.585670894852599,0.122852805753543,226,-0.944075075983943,-0.928379290419711,-0.0156957855642323,100,226,100,-0.610442931701782,0.351958165832193
"78","Samantha Stosur",-0.353136991630924,-0.288554781182565,-0.064582210448359,51,-0.945454237622952,-0.926131132921328,-0.019323104701624,41,51,41,-0.617104459953458,0.350440282911165
"79","Arantxa Rus",-0.61764422711987,-0.657216852719094,0.039572625599224,70,NA,NA,NA,NA,70,0,-0.61764422711987,0.350317424611379
"80","Anastasia Pavlyuchenkova",-0.394506834093555,-0.355249819550206,-0.0392570145433494,98,-1.04682756496114,-1.0214086173558,-0.0254189476053444,51,98,51,-0.617784399692528,0.350285522686355
"81","Paula Badosa",-0.474629038054695,-0.488971227221525,0.0143421891668296,188,-0.877107503401279,-0.870488945112661,-0.00661855828861806,105,188,105,-0.61886193519255,0.350040330728439
"82","Johanna Larsson",-0.43344076460228,-0.474137097968839,0.0406963333665596,52,-0.977620939139604,-0.959008958972851,-0.018611980166753,27,52,27,-0.61942639387453,0.349911920422531
"83","Garbine Muguruza",-0.474284668211552,-0.422978699362358,-0.051305968849194,170,-0.928515596568527,-0.92115702366909,-0.00735857289943637,81,170,81,-0.620869151067787,0.349583802403298
"84","Bernarda Pera",-0.405780785268268,-0.399454093994917,-0.00632669127335079,51,-0.924414878102236,-0.933840753100884,0.00942587499864786,38,51,38,-0.627220060860299,0.348141147483596
"85","Stefanie Voegele",-0.137908118756099,-0.0872184014323746,-0.0506897173237241,24,-1.14072206726084,-1.13626363202789,-0.00445843523295355,23,24,23,-0.62864685951374,0.347817421579742
"86","Jule Niemeier",-0.414040284860544,-0.394036753431278,-0.020003531429266,169,-0.954654465438162,-0.961452735526554,0.00679827008839175,112,169,112,-0.629516399539168,0.347620200828349
"87","Danielle Collins",-0.548175503879679,-0.438659539597469,-0.10951596428221,289,-0.783338454193802,-0.789316220438329,0.00597776624452691,157,289,157,-0.630957080559763,0.347293554380247
"88","Ajla Tomljanovic",-0.465418057140314,-0.417788593482958,-0.047629463657356,267,-0.947741102280119,-0.885627509529763,-0.062113592750356,143,267,143,-0.633642924103709,0.346684975346114
"89","Emma Raducanu",-0.511395003683678,-0.444127768880508,-0.0672672348031699,286,-0.934475999454596,-0.94132313745155,0.00684713799695378,121,286,121,-0.637175840264222,0.345885223272292
"90","Marketa Vondrousova",-0.433751570340632,-0.33496699500231,-0.098784575338322,209,-1.07027708041484,-1.06809063021499,-0.00218645019984592,99,209,99,-0.638349055721626,0.345619832891429
"91","Kaia Kanepi",-0.321789911040389,-0.347760407905864,0.0259704968654749,58,-1.05950549581346,-1.03149424336591,-0.0280112524475516,45,58,45,-0.644092836426681,0.344321935044006
"92","Alison Van Uytvanck",-0.415332736667823,-0.33725099439265,-0.0780817422751734,216,-1.03302011893174,-0.988852652241122,-0.0441674666906128,132,216,132,-0.649627950629997,0.343073382698668
"93","Greet Minnen",-0.421128850322698,-0.459681891056587,0.0385530407338898,57,-1.03512058694079,-1.03581518445357,0.000694597512788862,34,57,34,-0.650532356311873,0.342869582077615
"94","Varvara Lepchenko",-0.656634530879365,-0.600138711189538,-0.0564958196898274,25,NA,NA,NA,NA,25,0,-0.656634530879365,0.34149602221455
"95","Caroline Wozniacki",-0.521773438322524,-0.382381214345667,-0.139392223976858,155,-0.989492215541001,-1.0017746335311,0.0122824179900995,68,155,68,-0.664396204469863,0.339752757722093
"96","Sorana Cirstea",-0.490811757238652,-0.399960607017203,-0.0908511502214494,173,-0.965767033216527,-0.906569512910963,-0.0591975203055642,100,173,100,-0.664788048805639,0.339664864398973
"97","Coco Vandeweghe",-0.509374288994004,-0.491086331563103,-0.018287957430901,59,-0.911122278282346,-0.904107938591928,-0.00701433969041818,38,59,38,-0.666760099230674,0.339222687949084
"98","Mirra Andreeva",-0.392909661634805,-0.343035028469261,-0.0498746331655434,107,-1.09904555192707,-1.065865282629,-0.0331802692980676,69,107,69,-0.669747027715295,0.338553487837769
"99","Magdalena Frech",-0.407451895656235,-0.328053737347585,-0.0793981583086504,60,-1.13469409847059,-1.1091149988254,-0.0255790996451883,34,60,34,-0.670496947738024,0.338385574817128
