ServerName,years_present,mean_percentile,median_percentile,mean_centered_sqs,total_serves
Sam Querrey,5,94.78202189966896,95.83333333333334,0.39300608463151127,879
Matteo Berrettini,5,90.16722160562338,92.15686274509804,0.3182419639600061,999
Alexander Zverev,7,90.07487643427869,89.58333333333334,0.305775740900841,1105
John Isner,5,88.48637636872931,89.28571428571429,0.3405498722103712,1067
Marin Cilic,5,83.735803412274,83.92857142857143,0.2615678917628968,969
Taylor Fritz,6,76.41046984831668,88.45726970033297,0.18679901570943427,976
Daniil Medvedev,6,74.32910442621875,75.97114317425084,0.1481328698411059,1112
Grigor Dimitrov,6,71.44253298803798,74.31372549019608,0.14512695941415982,758
Stefanos Tsitsipas,6,70.54102144002255,71.35854341736695,0.13085337334676453,970
Roger Federer,5,62.970269926152284,63.63636363636363,0.07447671382700746,1537
