ServerName,years_present,mean_percentile,median_percentile,mean_centered_sqs,total_serves
Coco Gauff,5,84.54356725146198,96,0.2716069929612926,407
Donna Vekic,5,82.4452798663325,89.47368421052632,0.22631506057818707,480
Katie Boulter,5,74.12456140350878,74,0.14043132613304757,377
Maria Sakkari,5,73.3092731829574,68.33333333333333,0.1496684941879981,300
Ons Jabeur,6,69.96160540239488,65.625,0.12920964155198908,730
Ajla Tomljanovic,5,67.85183792815371,68.42105263157895,0.19302046985493831,296
Madison Keys,6,67.78926482873851,68.21428571428572,0.10935810048154385,626
Anett Kontaveit,5,59.916959064327486,73.33333333333333,0.04408609239212715,277
Petra Kvitova,6,57.2208298524088,64.12280701754386,0.051059029677096905,534
Garbine Muguruza,5,47.50952380952381,45.83333333333333,0.004530413206376582,476
