"","model","dataset","n","accuracy","log_loss"
"1","wimbledon_m_first_speed","wimbledon_m",16053,0.7471,0.5351
"2","wimbledon_m_first_ratio","wimbledon_m",16053,0.7478,0.5364
"3","wimbledon_m_second_speed","wimbledon_m",8043,0.5732,0.6644
"4","wimbledon_m_second_ratio","wimbledon_m",8043,0.5755,0.6641
"5","wimbledon_f_first_speed","wimbledon_f",10179,0.6563,0.623
"6","wimbledon_f_first_ratio","wimbledon_f",10179,0.6546,0.6258
"7","wimbledon_f_second_speed","wimbledon_f",5243,0.5489,0.6807
"8","wimbledon_f_second_ratio","wimbledon_f",5243,0.551,0.6807
"9","usopen_m_first_speed","usopen_m",14374,0.7208,0.5674
"10","usopen_m_first_ratio","usopen_m",14374,0.7205,0.5686
"11","usopen_m_second_speed","usopen_m",8404,0.5681,0.6727
"12","usopen_m_second_ratio","usopen_m",8404,0.5676,0.6723
"13","usopen_f_first_speed","usopen_f",10047,0.6484,0.6238
"14","usopen_f_first_ratio","usopen_f",10047,0.6515,0.6253
"15","usopen_f_second_speed","usopen_f",5437,0.5413,0.6847
"16","usopen_f_second_ratio","usopen_f",5437,0.5463,0.6854
